Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,experimental,False,1,0.9,0.714,10.421426989395727,3.905582429463871,1000
LGBM,LGBM,experimental,False,1,0.95,0.796,12.417896177537456,3.905582429463871,1000
LGBM,LGBM,experimental,False,2,0.9,0.747,11.153655901082034,3.716762206006709,1000
LGBM,LGBM,experimental,False,2,0.95,0.83,13.290400740757454,3.716762206006709,1000
LGBM,LGBM,experimental,False,3,0.9,0.826,10.129500599367143,2.9806910089316485,1000
LGBM,LGBM,experimental,False,3,0.95,0.9,12.070044428775317,2.9806910089316485,1000
LGBM,LGBM,experimental,False,4,0.9,0.709,10.248410164509226,3.911148948219506,1000
LGBM,LGBM,experimental,False,4,0.95,0.788,12.211733914865182,3.911148948219506,1000
LGBM,LGBM,experimental,False,5,0.9,0.897,11.953436462004694,2.904688869350282,1000
LGBM,LGBM,experimental,False,5,0.95,0.95,14.243398058730905,2.904688869350282,1000
LGBM,LGBM,experimental,False,6,0.9,0.901,10.409876930645252,2.475898589693061,1000
LGBM,LGBM,experimental,False,6,0.95,0.951,12.40413343366814,2.475898589693061,1000
LGBM,LGBM,experimental,True,1,0.9,0.695,10.441642571924747,3.98549935766534,1000
LGBM,LGBM,experimental,True,1,0.95,0.774,12.441984529859,3.98549935766534,1000
LGBM,LGBM,experimental,True,2,0.9,0.769,11.14737947150305,3.7228962496196263,1000
LGBM,LGBM,experimental,True,2,0.95,0.832,13.282921913629773,3.7228962496196263,1000
LGBM,LGBM,experimental,True,3,0.9,0.822,10.139719900553855,2.993567832780566,1000
LGBM,LGBM,experimental,True,3,0.95,0.896,12.082221477203783,2.993567832780566,1000
LGBM,LGBM,experimental,True,4,0.9,0.707,10.258140130646604,3.9509918046955974,1000
LGBM,LGBM,experimental,True,4,0.95,0.782,12.223327884618827,3.9509918046955974,1000
LGBM,LGBM,experimental,True,5,0.9,0.894,11.981860540543671,2.9439981898378322,1000
LGBM,LGBM,experimental,True,5,0.95,0.949,14.277267437329282,2.9439981898378322,1000
LGBM,LGBM,experimental,True,6,0.9,0.894,10.42424549288115,2.562430198965583,1000
LGBM,LGBM,experimental,True,6,0.95,0.955,12.421254631585413,2.562430198965583,1000
LGBM,LGBM,observational,False,1,0.9,0.94,50.01837238134115,11.670635965681225,1000
LGBM,LGBM,observational,False,1,0.95,0.973,59.600566777747616,11.670635965681225,1000
LGBM,LGBM,observational,False,2,0.9,0.929,59.19235508827008,13.470175038952636,1000
LGBM,LGBM,observational,False,2,0.95,0.977,70.53204141217991,13.470175038952636,1000
LGBM,LGBM,observational,False,3,0.9,0.945,56.62260255116421,12.634763113659828,1000
LGBM,LGBM,observational,False,3,0.95,0.989,67.46999240102099,12.634763113659828,1000
LGBM,LGBM,observational,False,4,0.9,0.945,70.02798665966547,16.708878014378698,1000
LGBM,LGBM,observational,False,4,0.95,0.982,83.44349279101235,16.708878014378698,1000
LGBM,LGBM,observational,False,5,0.9,0.932,32.68395008367948,7.535531362351606,1000
LGBM,LGBM,observational,False,5,0.95,0.973,38.945328621880215,7.535531362351606,1000
LGBM,LGBM,observational,False,6,0.9,0.922,31.254676611393744,7.328062886784694,1000
LGBM,LGBM,observational,False,6,0.95,0.96,37.24224423562365,7.328062886784694,1000
LGBM,LGBM,observational,True,1,0.9,0.903,17.911052050251026,4.470376853620159,1000
LGBM,LGBM,observational,True,1,0.95,0.954,21.342334885309523,4.470376853620159,1000
LGBM,LGBM,observational,True,2,0.9,0.928,20.466840035852762,4.861276719991755,1000
LGBM,LGBM,observational,True,2,0.95,0.965,24.387744107030723,4.861276719991755,1000
LGBM,LGBM,observational,True,3,0.9,0.916,20.087760624155962,4.7945055222830755,1000
LGBM,LGBM,observational,True,3,0.95,0.958,23.93604312766554,4.7945055222830755,1000
LGBM,LGBM,observational,True,4,0.9,0.913,23.82669034521118,5.634290832938362,1000
LGBM,LGBM,observational,True,4,0.95,0.956,28.391252681829,5.634290832938362,1000
LGBM,LGBM,observational,True,5,0.9,0.89,16.373740873746755,4.117691170125128,1000
LGBM,LGBM,observational,True,5,0.95,0.943,19.51051563427767,4.117691170125128,1000
LGBM,LGBM,observational,True,6,0.9,0.891,14.987930087831806,3.7336563054022593,1000
LGBM,LGBM,observational,True,6,0.95,0.957,17.85922023310908,3.7336563054022593,1000
