Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.212,0.6604863947299484,0.5680925390085144,0.03,0.8639202587233566,1000
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.2853333333333333,0.787018081571581,0.5680925390085144,0.073,0.9797059963406656,1000
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.24783333333333332,0.6059094348361568,0.5434696918979384,0.06,0.8130147435733623,1000
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.32,0.7219856227407174,0.5434696918979384,0.102,0.9183163527410149,1000
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.897,0.6023951572598649,0.14911519055090663,0.896,0.80773077576638,1000
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.9485,0.7177981027277819,0.14911519055090663,0.944,0.9122884478790374,1000
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.216,0.6603511092788719,0.568539302268738,0.034,0.8638114270473408,1000
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.28983333333333333,0.7868568790138594,0.568539302268738,0.073,0.9802312306197214,1000
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.24733333333333332,0.6060215144180863,0.5437755527978768,0.064,0.8139649562039803,1000
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.3206666666666667,0.7221191737998417,0.5437755527978768,0.105,0.918312219671443,1000
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.8961666666666667,0.6024262845726389,0.149332789476576,0.895,0.807525870642016,1000
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.9488333333333334,0.7178351932086445,0.149332789476576,0.942,0.9117009348167522,1000
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.9585,0.8182729709439571,0.16565056617253612,0.958,1.1056917522246983,1000
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.9826666666666666,0.9750323836079928,0.16565056617253612,0.983,1.2457725065304077,1000
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.937,1.1923984653336688,0.2434226455534901,0.929,1.5772729726576005,1000
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.9705,1.4208304064151072,0.2434226455534901,0.969,1.7864645790746925,1000
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.9405,0.7715719701005695,0.16570390033287308,0.943,1.0366837950276395,1000
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.9736666666666667,0.9193847088269498,0.16570390033287308,0.975,1.1696730766341457,1000
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.9435,0.7351138303781443,0.15288401708102373,0.953,0.9974445142927548,1000
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9776666666666667,0.8759421558675607,0.15288401708102373,0.98,1.1224659600314153,1000
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.8981666666666667,1.048606227423576,0.24125031716387346,0.882,1.3932585328634872,1000
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.9471666666666666,1.2494913869775361,0.24125031716387346,0.934,1.5755625535278197,1000
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.9265,0.707833153098743,0.1584727972282905,0.932,0.9562892376447345,1000
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.9656666666666667,0.8434352239039034,0.1584727972282905,0.971,1.0771546668822336,1000
Linear,Logistic,experimental,False,1,0.9,0.8333333333333334,0.21008119266299188,0.06279250993648063,0.772,0.2997763455348952,1000
Linear,Logistic,experimental,False,1,0.95,0.898,0.25032718091263456,0.06279250993648063,0.852,0.3330657871692049,1000
Linear,Logistic,experimental,False,4,0.9,0.186,0.9725081430802559,0.9487602256636943,0.038,1.254980282567084,1000
Linear,Logistic,experimental,False,4,0.95,0.2495,1.1588149266764283,0.9487602256636943,0.065,1.4284992957761715,1000
Linear,Logistic,experimental,False,6,0.9,0.9058333333333334,0.9844631950664593,0.2397840052146586,0.905,1.2664633333872184,1000
Linear,Logistic,experimental,False,6,0.95,0.9588333333333334,1.1730602497509743,0.2397840052146586,0.958,1.4417094501447543,1000
Linear,Logistic,experimental,True,1,0.9,0.8348333333333333,0.21008310515619139,0.06274327271440339,0.766,0.2999472120228887,1000
Linear,Logistic,experimental,True,1,0.95,0.8965,0.2503294597888399,0.06274327271440339,0.851,0.3328788977719515,1000
Linear,Logistic,experimental,True,4,0.9,0.1855,0.9724386030694512,0.9484794587569109,0.04,1.2546597764324676,1000
Linear,Logistic,experimental,True,4,0.95,0.24766666666666665,1.158732064642732,0.9484794587569109,0.067,1.4275114494639556,1000
