Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,experimental,False,1,0.9,0.544,2.425320638886084,1.2319087948330136,0.373,2.996270924971626,1000
LGBM,LGBM,experimental,False,1,0.95,0.6573333333333333,2.8899477894507153,1.2319087948330136,0.51,3.426821414153212,1000
LGBM,LGBM,experimental,False,4,0.9,0.5433333333333332,2.081033950171366,1.1284091315935543,0.326,2.63040246774168,1000
LGBM,LGBM,experimental,False,4,0.95,0.645,2.4797048965994914,1.1284091315935543,0.433,2.9840997920845034,1000
LGBM,LGBM,experimental,False,6,0.9,0.9013333333333333,2.1074708371942887,0.5074798549008092,0.889,2.661409971109796,1000
LGBM,LGBM,experimental,False,6,0.95,0.949,2.511206390458441,0.5074798549008092,0.951,3.024791162993095,1000
LGBM,LGBM,experimental,True,1,0.9,0.544,2.4258784897314545,1.2301893619998863,0.381,2.9938872731992046,1000
LGBM,LGBM,experimental,True,1,0.95,0.654,2.890612509732056,1.2301893619998863,0.512,3.4246029625955265,1000
LGBM,LGBM,experimental,True,4,0.9,0.5453333333333332,2.080804861227795,1.1267095291503957,0.322,2.63126524321154,1000
LGBM,LGBM,experimental,True,4,0.95,0.637,2.479431920286403,1.1267095291503957,0.432,2.9864977663945322,1000
LGBM,LGBM,experimental,True,6,0.9,0.8983333333333333,2.1075770544801875,0.5090578420666497,0.898,2.6592454867701534,1000
LGBM,LGBM,experimental,True,6,0.95,0.9506666666666667,2.5113329561609974,0.5090578420666497,0.951,3.021879998386774,1000
LGBM,LGBM,observational,False,1,0.9,0.9733333333333334,4.03021343300979,0.7766577483742204,0.981,5.037046138005267,1000
LGBM,LGBM,observational,False,1,0.95,0.9906666666666666,4.802295504766979,0.7766577483742204,0.996,5.738923894610133,1000
LGBM,LGBM,observational,False,4,0.9,0.97,4.8021396925676045,0.9082207211428641,0.975,5.966191417077038,1000
LGBM,LGBM,observational,False,4,0.95,0.99,5.7221023755206355,0.9082207211428641,0.993,6.811583661183153,1000
LGBM,LGBM,observational,False,6,0.9,0.9703333333333334,3.6797914931041698,0.6937275477633349,0.988,4.610582711796715,1000
LGBM,LGBM,observational,False,6,0.95,0.9913333333333334,4.384742009213337,0.6937275477633349,0.997,5.248758742823758,1000
LGBM,LGBM,observational,True,1,0.9,0.9506666666666667,2.8486162589101403,0.5735809923435359,0.952,3.592593517873356,1000
LGBM,LGBM,observational,True,1,0.95,0.9793333333333334,3.394335630694889,0.5735809923435359,0.983,4.079342062842905,1000
LGBM,LGBM,observational,True,4,0.9,0.9343333333333333,3.368298861981589,0.6884203303254872,0.939,4.227183687419757,1000
LGBM,LGBM,observational,True,4,0.95,0.9703333333333334,4.013575646172639,0.6884203303254872,0.978,4.806891684310405,1000
LGBM,LGBM,observational,True,6,0.9,0.9533333333333334,2.7279084619534326,0.5447869829275808,0.969,3.4465706624788495,1000
LGBM,LGBM,observational,True,6,0.95,0.9826666666666666,3.250503419237389,0.5447869829275808,0.987,3.91458414149786,1000
Linear,Linear,experimental,False,1,0.9,0.8656666666666666,0.53365284736229,0.14113839390189276,0.841,0.6858601630178984,1000
Linear,Linear,experimental,False,1,0.95,0.924,0.635886588289231,0.14113839390189276,0.904,0.7736797278406461,1000
Linear,Linear,experimental,False,4,0.9,0.6696666666666666,2.1893979266171124,0.9361640632307114,0.539,2.762491543769461,1000
Linear,Linear,experimental,False,4,0.95,0.7683333333333334,2.6088285387127694,0.9361640632307114,0.656,3.13570938340289,1000
Linear,Linear,experimental,False,6,0.9,0.8963333333333334,2.2066699836465244,0.5391769945435134,0.905,2.776901533986721,1000
Linear,Linear,experimental,False,6,0.95,0.952,2.629409464068001,0.5391769945435134,0.951,3.1580920998536812,1000
Linear,Linear,experimental,True,1,0.9,0.8653333333333334,0.5335876458732524,0.14098973324489064,0.842,0.6859583678871254,1000
Linear,Linear,experimental,True,1,0.95,0.9256666666666666,0.6358088959230787,0.14098973324489064,0.903,0.7735239022392485,1000
Linear,Linear,experimental,True,4,0.9,0.6683333333333333,2.189887470203439,0.9376906555300101,0.533,2.762438365471929,1000
Linear,Linear,experimental,True,4,0.95,0.7673333333333334,2.609411865874738,0.9376906555300101,0.65,3.137626305537253,1000
Linear,Linear,experimental,True,6,0.9,0.8996666666666666,2.206190512676471,0.539245881315392,0.908,2.7775275532096906,1000
Linear,Linear,experimental,True,6,0.95,0.951,2.628838139168606,0.539245881315392,0.947,3.1603971924586123,1000
Linear,Linear,observational,False,1,0.9,0.903,0.6100966786339458,0.14595261649230307,0.901,0.7827440423437438,1000
Linear,Linear,observational,False,1,0.95,0.952,0.7269750314660184,0.14595261649230307,0.944,0.8836444753244614,1000
Linear,Linear,observational,False,4,0.9,0.7883333333333333,3.2174659336975893,1.007817766808723,0.739,3.9970752953576123,1000
Linear,Linear,observational,False,4,0.95,0.8686666666666666,3.8338471267011167,1.007817766808723,0.828,4.566674016780959,1000
Linear,Linear,observational,False,6,0.9,0.8983333333333333,2.831695772379743,0.7289665197204216,0.899,3.52423219231215,1000
Linear,Linear,observational,False,6,0.95,0.9533333333333334,3.3741736274278034,0.7289665197204216,0.953,4.017472422924514,1000
Linear,Linear,observational,True,1,0.9,0.8943333333333334,0.5907411589406687,0.14453692468281937,0.883,0.758257638344459,1000
Linear,Linear,observational,True,1,0.95,0.946,0.7039115072233244,0.14453692468281937,0.946,0.8568435231487644,1000
Linear,Linear,observational,True,4,0.9,0.7816666666666666,3.0525973420953805,0.9863117736959517,0.732,3.805846942979805,1000
Linear,Linear,observational,True,4,0.95,0.865,3.6373940828390534,0.9863117736959517,0.815,4.339527793994656,1000
Linear,Linear,observational,True,6,0.9,0.89,2.7202274205001,0.7062614871662574,0.892,3.3901526544863465,1000
Linear,Linear,observational,True,6,0.95,0.9456666666666667,3.2413508938298894,0.7062614871662574,0.942,3.863150014029504,1000
