Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,experimental,False,1,0.9,0.051,2.162461753688773,2.169737683875206,1000
LGBM,LGBM,experimental,False,1,0.95,0.094,2.576732109002647,2.169737683875206,1000
LGBM,LGBM,experimental,False,2,0.9,0.377,2.1295044728560635,1.3213439323325022,1000
LGBM,LGBM,experimental,False,2,0.95,0.475,2.5374610867049356,1.3213439323325022,1000
LGBM,LGBM,experimental,False,3,0.9,0.47,1.8796286302073664,1.0014962629759643,1000
LGBM,LGBM,experimental,False,3,0.95,0.584,2.239715655638386,1.0014962629759643,1000
LGBM,LGBM,experimental,False,4,0.9,0.078,1.883011293050954,1.9173640236877347,1000
LGBM,LGBM,experimental,False,4,0.95,0.122,2.243746347024319,1.9173640236877347,1000
LGBM,LGBM,experimental,False,5,0.9,0.889,2.0642730548921726,0.5209994874770714,1000
LGBM,LGBM,experimental,False,5,0.95,0.951,2.4597330580373264,0.5209994874770714,1000
LGBM,LGBM,experimental,False,6,0.9,0.908,1.808638762699564,0.43376612813148785,1000
LGBM,LGBM,experimental,False,6,0.95,0.948,2.155126011123672,0.43376612813148785,1000
LGBM,LGBM,experimental,True,1,0.9,0.049,2.159654648685151,2.17137681706751,1000
LGBM,LGBM,experimental,True,1,0.95,0.099,2.573387237083486,2.17137681706751,1000
LGBM,LGBM,experimental,True,2,0.9,0.373,2.129643042411216,1.319771507009933,1000
LGBM,LGBM,experimental,True,2,0.95,0.47,2.537626202514028,1.319771507009933,1000
LGBM,LGBM,experimental,True,3,0.9,0.477,1.8791031704354346,1.0000542552199656,1000
LGBM,LGBM,experimental,True,3,0.95,0.598,2.23908953170162,1.0000542552199656,1000
LGBM,LGBM,experimental,True,4,0.9,0.084,1.8855456999420728,1.9240618121414252,1000
LGBM,LGBM,experimental,True,4,0.95,0.127,2.2467662791005663,1.9240618121414252,1000
LGBM,LGBM,experimental,True,5,0.9,0.891,2.063666189492902,0.5200351889316859,1000
LGBM,LGBM,experimental,True,5,0.95,0.947,2.459009933312703,0.5200351889316859,1000
LGBM,LGBM,experimental,True,6,0.9,0.897,1.8093537325759845,0.43669034939483387,1000
LGBM,LGBM,experimental,True,6,0.95,0.944,2.1559779502779253,0.43669034939483387,1000
LGBM,LGBM,observational,False,1,0.9,0.893,12.590352220156928,3.3786016989727083,1000
LGBM,LGBM,observational,False,1,0.95,0.953,15.002329994503222,3.3786016989727083,1000
LGBM,LGBM,observational,False,2,0.9,0.914,14.716998683865025,3.6220054403232314,1000
LGBM,LGBM,observational,False,2,0.95,0.966,17.536385553259827,3.6220054403232314,1000
LGBM,LGBM,observational,False,3,0.9,0.933,14.387779381623973,3.413493039888865,1000
LGBM,LGBM,observational,False,3,0.95,0.977,17.144096558765057,3.413493039888865,1000
LGBM,LGBM,observational,False,4,0.9,0.842,18.12890407178146,5.76469995432725,1000
LGBM,LGBM,observational,False,4,0.95,0.932,21.60192157993247,5.76469995432725,1000
LGBM,LGBM,observational,False,5,0.9,0.917,7.704461439047936,1.901354597911667,1000
LGBM,LGBM,observational,False,5,0.95,0.96,9.18043204172422,1.901354597911667,1000
LGBM,LGBM,observational,False,6,0.9,0.922,7.569503728862976,1.7987540722258704,1000
LGBM,LGBM,observational,False,6,0.95,0.972,9.019620011362129,1.7987540722258704,1000
LGBM,LGBM,observational,True,1,0.9,0.906,4.1677645580041025,1.0303464962408189,1000
LGBM,LGBM,observational,True,1,0.95,0.967,4.966197779476664,1.0303464962408189,1000
LGBM,LGBM,observational,True,2,0.9,0.917,5.020279353776863,1.2235227285733399,1000
LGBM,LGBM,observational,True,2,0.95,0.963,5.982031813960893,1.2235227285733399,1000
LGBM,LGBM,observational,True,3,0.9,0.921,4.904759478369554,1.1326648179240986,1000
LGBM,LGBM,observational,True,3,0.95,0.969,5.84438139231425,1.1326648179240986,1000
LGBM,LGBM,observational,True,4,0.9,0.925,5.958922268906894,1.370042866021869,1000
LGBM,LGBM,observational,True,4,0.95,0.971,7.1004938326197875,1.370042866021869,1000
LGBM,LGBM,observational,True,5,0.9,0.92,3.449425982629519,0.8277123141255975,1000
LGBM,LGBM,observational,True,5,0.95,0.965,4.110244572838216,0.8277123141255975,1000
LGBM,LGBM,observational,True,6,0.9,0.925,3.40159548571924,0.8004114911308209,1000
LGBM,LGBM,observational,True,6,0.95,0.97,4.053251020481494,0.8004114911308209,1000
