Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.7108333333333333,1.1436165638794173,0.4412630010586681,0.576,1.704191694806129,4.269417577492364,3.9140347262023947,,500
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.802,1.3627031856210492,0.4412630010586681,0.71,1.8930673922110166,4.269417577492364,3.9140347262023947,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.6508333333333334,1.0012390891898755,0.44951975947060363,0.446,1.5216831112331473,3.621048176660743,3.6545608858238317,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.739,1.1930499605383666,0.44951975947060363,0.582,1.6786175048159389,3.621048176660743,3.6545608858238317,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.9103333333333333,1.003018592145389,0.23617184097950658,0.906,1.5231824028315617,3.6659724327745824,3.6687928901843088,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.957,1.1951703690939004,0.23617184097950658,0.962,1.6836624489601968,3.6659724327745824,3.6687928901843088,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.7091666666666666,1.1432873931586964,0.4428580695598743,0.554,1.7034459189904412,4.263969908752096,3.91405763516209,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.8026666666666666,1.3623109545150063,0.4428580695598743,0.7,1.8898347679889276,4.263969908752096,3.91405763516209,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.6483333333333333,1.0011671815445324,0.44985582150145925,0.472,1.520874058829834,3.6195473607527537,3.652612223265004,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.7353333333333334,1.1929642772941091,0.44985582150145925,0.588,1.6794441763027343,3.6195473607527537,3.652612223265004,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.9083333333333333,1.003341605401925,0.23605498778636974,0.908,1.5236021402644524,3.6655617458978376,3.6732418395448203,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.955,1.1955552631288262,0.23605498778636974,0.964,1.6837341484448498,3.6655617458978376,3.6732418395448203,,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.9226666666666666,4.246392676014023,1.0704916062622525,0.966,6.578448038420458,4.268055195404975,3.9153614349044483,0.8577841543409016,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.9721666666666666,5.059888960835597,1.0704916062622525,0.992,7.226560052337621,4.268055195404975,3.9153614349044483,0.8577841543409016,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.935,5.24144240451079,1.3120900692699173,0.986,8.036865203237454,3.6210466042543774,3.651313791030827,0.8536080734313474,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.9803333333333334,6.2455638432229055,1.3120900692699173,0.994,8.853512099308475,3.6210466042543774,3.651313791030827,0.8536080734313474,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.9346666666666666,3.876908061735824,0.912896803261912,0.972,6.010491070716655,3.666795349245793,3.6684371854222233,0.8824458183410678,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.9765,4.61962088776145,0.912896803261912,0.986,6.607553358697693,3.666795349245793,3.6684371854222233,0.8824458183410678,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.9141666666666667,1.785263211281463,0.4377233949733758,0.934,2.776087591964191,4.264912994803874,3.91674943720863,0.858124578723283,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9633333333333334,2.1272723236298163,0.4377233949733758,0.968,3.04881244695313,4.264912994803874,3.91674943720863,0.858124578723283,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.9183333333333333,2.161887891712943,0.5070193732964262,0.932,3.3314534536503886,3.6214703404808577,3.6516561199001734,0.8538647372576891,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.9655,2.5760483102826313,0.5070193732964262,0.956,3.669592891135713,3.6214703404808577,3.6516561199001734,0.8538647372576891,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.9118333333333334,1.7606890952900482,0.42075655325163114,0.944,2.736680829873217,3.6623282629507616,3.667380623747617,0.8821558756328344,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.9633333333333334,2.09799045835871,0.42075655325163114,0.978,3.006060409939102,3.6623282629507616,3.667380623747617,0.8821558756328344,500
Linear,Logistic,experimental,False,1,0.9,0.8808333333333334,0.418866478279303,0.10877121678369137,0.834,0.6529470500891298,1.4305249692200885,1.432190456683633,,500
Linear,Logistic,experimental,False,1,0.95,0.9331666666666666,0.4991101933368467,0.10877121678369137,0.906,0.7168101775846977,1.4305249692200885,1.432190456683633,,500
Linear,Logistic,experimental,False,4,0.9,0.5753333333333334,1.3942432174121073,0.7197802482990261,0.356,2.0179217121712334,4.624958585767405,4.6817355343203015,,500
Linear,Logistic,experimental,False,4,0.95,0.6698333333333334,1.6613432630364986,0.7197802482990261,0.482,2.2498108523526943,4.624958585767405,4.6817355343203015,,500
Linear,Logistic,experimental,False,6,0.9,0.9021666666666667,1.4011912340749872,0.3425556864685254,0.92,2.024146764342184,4.807293046724782,4.8155355801041395,,500
Linear,Logistic,experimental,False,6,0.95,0.951,1.6696223355327353,0.3425556864685254,0.964,2.258125515684298,4.807293046724782,4.8155355801041395,,500
Linear,Logistic,experimental,True,1,0.9,0.8801666666666667,0.4188439022520259,0.10872653512273017,0.832,0.6523507189619641,1.4304053019738947,1.4322187590435955,,500
Linear,Logistic,experimental,True,1,0.95,0.931,0.4990832923411276,0.10872653512273017,0.902,0.7159951675798315,1.4304053019738947,1.4322187590435955,,500
Linear,Logistic,experimental,True,4,0.9,0.5758333333333334,1.3941039737746053,0.719507498281811,0.356,2.016740435560167,4.624387165972086,4.681683236630598,,500
Linear,Logistic,experimental,True,4,0.95,0.6706666666666666,1.6611773440087454,0.719507498281811,0.478,2.2486427049204516,4.624387165972086,4.681683236630598,,500
Linear,Logistic,experimental,True,6,0.9,0.9018333333333334,1.401508133120735,0.34227003612776596,0.914,2.0239375555711647,4.80864345960688,4.816156156306712,,500
Linear,Logistic,experimental,True,6,0.95,0.9491666666666666,1.6699999440361448,0.34227003612776596,0.962,2.2576707136715517,4.80864345960688,4.816156156306712,,500
Linear,Logistic,observational,False,1,0.9,0.8978333333333334,0.4501956626030635,0.10990565309805082,0.882,0.7003884451738636,1.430409587506778,1.4324863844056221,0.6762284233665801,500
Linear,Logistic,observational,False,1,0.95,0.9483333333333334,0.5364412189876774,0.10990565309805082,0.946,0.7691199698592037,1.430409587506778,1.4324863844056221,0.6762284233665801,500
Linear,Logistic,observational,False,4,0.9,0.6988333333333334,1.7515071841998697,0.6853464428122965,0.576,2.5098633529371654,4.624523121930485,4.681651215529987,0.6756504408066538,500
