Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.6746666666666666,1.1302540296683334,0.4731576889876941,0.578,1.4816051236224814,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.7766666666666666,1.3467807440330712,0.4731576889876941,0.706,1.6812828344116404,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.5883333333333334,0.9528043828979721,0.4823560543893541,0.466,1.27929371437128,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.6846666666666666,1.1353364482972514,0.4823560543893541,0.568,1.4435828626776763,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.8906666666666666,0.9614073644430178,0.23854888715713693,0.874,1.2882368342996033,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.9433333333333334,1.1455875330817396,0.23854888715713693,0.934,1.4541719279679532,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.672,1.1313612944573888,0.4752045661008921,0.582,1.4825812440852297,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.7753333333333333,1.3481001314073264,0.4752045661008921,0.708,1.6822431311559558,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.5866666666666667,0.9526131499712629,0.48381828437683166,0.462,1.2789773774736573,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.683,1.1351085802104706,0.48381828437683166,0.574,1.4449397662479588,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.8896666666666666,0.9613935147646324,0.2413090996788802,0.886,1.2886962171143663,3.6673476578091213,3.67282635262856,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.9413333333333334,1.1455710301720656,0.2413090996788802,0.946,1.4545969888401349,3.6673476578091213,3.67282635262856,,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.931,4.164767502037442,1.022491190366466,0.97,5.764363671470065,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.9766666666666667,4.962626567024652,1.022491190366466,0.988,6.456380306992598,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.9366666666666666,5.237723094261605,1.3087624117721026,0.964,7.162636336164366,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.978,6.241132011711401,1.3087624117721026,0.986,8.044010723863218,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.9403333333333334,3.702744804674989,0.841195198587983,0.956,5.120358871756714,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.98,4.4120925668967645,0.841195198587983,0.992,5.735527288019376,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.931,1.6944396957302716,0.3788936105933235,0.958,2.351486820346032,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9733333333333334,2.019049429803349,0.3788936105933235,0.986,2.6340758955175962,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.9203333333333333,2.099994463708224,0.47568840327077033,0.916,2.884538642447501,3.6023625666216796,3.656369960958097,0.8544314031214001,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.9643333333333334,2.5022977419759527,0.47568840327077033,0.96,3.2361711377554325,3.6023625666216796,3.656369960958097,0.8544314031214001,500
