Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,Loss g_control,Loss g_treated,Loss m,repetition
LGBM Regr.,LGBM Clas.,experimental,False,1,0.9,0.598,1.1266899230627856,0.5018460987334973,0.57,1.330071739758634,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,1,0.95,0.7186666666666667,1.3425338490696075,0.5018460987334973,0.69,1.5336397043833967,4.251414560174687,3.9023721235530875,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.9,0.45,0.9446174454063001,0.531224200831128,0.41,1.132386874411178,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,4,0.95,0.5646666666666667,1.125581110579392,0.531224200831128,0.54,1.3045910589819267,3.6041257872434316,3.656177733062923,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.9,0.8786666666666666,0.9486213522201865,0.24397005084817594,0.872,1.1374661252630853,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,False,6,0.95,0.9353333333333333,1.1303520598140762,0.24397005084817594,0.922,1.3078779640488225,3.6653199008882806,3.6732792671089802,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.9,0.602,1.1276256196412848,0.5027730970734264,0.558,1.3291592714915261,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,1,0.95,0.71,1.3436488003116305,0.5027730970734264,0.68,1.5394934609066147,4.254915661245208,3.9081580572672006,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.9,0.448,0.9442163183851058,0.53162433456125,0.424,1.131334371992665,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,4,0.95,0.5686666666666667,1.125103138252928,0.53162433456125,0.516,1.3002854383058795,3.604058108148232,3.6558496288293028,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.9,0.8806666666666666,0.9483497352597887,0.243361151862621,0.878,1.1361944209715906,3.6673476578091213,3.67282635262856,,500
LGBM Regr.,LGBM Clas.,experimental,True,6,0.95,0.9393333333333334,1.1300284082433547,0.243361151862621,0.944,1.309480511069928,3.6673476578091213,3.67282635262856,,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.9,0.9453333333333334,4.318921692723004,1.0247135023367768,0.96,5.331034987139861,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,1,0.95,0.982,5.146312614742826,1.0247135023367768,0.984,6.103722794129011,4.253175709801001,3.906060351285797,0.8593178740429351,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.9,0.9366666666666666,5.585581251950944,1.4080679871607733,0.97,6.815946663074795,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,4,0.95,0.9826666666666666,6.655630572329935,1.4080679871607733,0.99,7.817978753131027,3.603393726868437,3.6567299092669496,0.8550452901236911,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.9,0.9386666666666666,3.6293975429293828,0.8102130923310369,0.936,4.4986699843552875,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,False,6,0.95,0.97,4.324693913891721,0.8102130923310369,0.974,5.145052250164915,3.6690522171173754,3.673958530682985,0.8827023979591501,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,0.9446666666666667,1.7146248702392077,0.3845887599583407,0.952,2.122357161809936,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,0.9753333333333334,2.043101548734134,0.3845887599583407,0.984,2.4227835779991147,4.252871492540774,3.9091800675023842,0.8597712039752193,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,0.908,2.1781319403080635,0.499822909447953,0.904,2.662414622198057,3.6023625666216796,3.656369960958097,0.8544314031214001,500
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,0.956,2.5954042880352297,0.499822909447953,0.956,3.0495153098435317,3.6023625666216796,3.656369960958097,0.8544314031214001,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.9,0.9053333333333333,1.6207287453832842,0.3906756266619106,0.916,2.0075174634593704,3.6668860766842997,3.673219727253148,0.8823772245412226,500
LGBM Regr.,LGBM Clas.,observational,True,6,0.95,0.9593333333333334,1.9312174151005732,0.3906756266619106,0.968,2.2937511551154683,3.6668860766842997,3.673219727253148,0.8823772245412226,500
Linear,Logistic,experimental,False,1,0.9,0.8546666666666666,0.34758756945888863,0.09593511221834335,0.818,0.4448743317621195,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,1,0.95,0.912,0.41417613485515037,0.09593511221834335,0.904,0.5036158003678926,1.4308932901376943,1.433755616875065,,500
Linear,Logistic,experimental,False,4,0.9,0.3073333333333333,1.3703723623901347,0.9281321270334562,0.284,1.5743939019776392,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,4,0.95,0.4046666666666667,1.6328993848964386,0.9281321270334562,0.372,1.8272212980954847,4.630168890637375,4.67631587765691,,500
Linear,Logistic,experimental,False,6,0.9,0.8973333333333333,1.3691849992126803,0.33438744989071734,0.882,1.5774961611220242,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,False,6,0.95,0.9393333333333334,1.631484554405599,0.33438744989071734,0.944,1.8315759696444804,4.789675142322002,4.82008231089315,,500
Linear,Logistic,experimental,True,1,0.9,0.854,0.3476256774638225,0.09592672413351071,0.82,0.44577210308958737,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,1,0.95,0.9126666666666666,0.4142215433437656,0.09592672413351071,0.906,0.5034315093950756,1.4308342472003583,1.4336678133715806,,500
Linear,Logistic,experimental,True,4,0.9,0.31,1.3705059852330193,0.9278020085931696,0.28,1.5754546728538281,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,4,0.95,0.404,1.6330586063343064,0.9278020085931696,0.378,1.8301846344355657,4.6324226237971935,4.67531768790484,,500
Linear,Logistic,experimental,True,6,0.9,0.9006666666666666,1.3691323148952537,0.33362437049025256,0.902,1.5750623510647086,4.78576655831704,4.816427096646486,,500
Linear,Logistic,experimental,True,6,0.95,0.94,1.6314217771693669,0.33362437049025256,0.94,1.8315600699985277,4.78576655831704,4.816427096646486,,500
Linear,Logistic,observational,False,1,0.9,0.8946666666666666,0.3827009755100664,0.09548442860762694,0.878,0.4903343385546143,1.4307576389325865,1.43345005442208,0.6767021399480564,500
Linear,Logistic,observational,False,1,0.95,0.9426666666666667,0.4560163388144475,0.09548442860762694,0.938,0.5544191957158142,1.4307576389325865,1.43345005442208,0.6767021399480564,500
Linear,Logistic,observational,False,4,0.9,0.5286666666666666,1.839570456380273,0.8682427324889391,0.484,2.0881522185500683,4.632192822877654,4.674876689774085,0.6765506392804086,500
Linear,Logistic,observational,False,4,0.95,0.6406666666666666,2.1919833974598504,0.8682427324889391,0.612,2.4350218067084883,4.632192822877654,4.674876689774085,0.6765506392804086,500
Linear,Logistic,observational,False,6,0.9,0.8933333333333334,1.539608824860191,0.3909689185717702,0.894,1.7736294511077006,4.7881148275256455,4.815953043151829,0.6973883348636404,500
Linear,Logistic,observational,False,6,0.95,0.9473333333333334,1.8345570679129113,0.3909689185717702,0.94,2.0584684662967594,4.7881148275256455,4.815953043151829,0.6973883348636404,500
Linear,Logistic,observational,True,1,0.9,0.8886666666666666,0.37870477166944744,0.0955501582341831,0.866,0.4847724241254767,1.4307941803206001,1.434054951101132,0.6767148696162103,500
Linear,Logistic,observational,True,1,0.95,0.9353333333333333,0.45125456823853904,0.0955501582341831,0.936,0.5482294644122102,1.4307941803206001,1.434054951101132,0.6767148696162103,500
Linear,Logistic,observational,True,4,0.9,0.5206666666666666,1.8296827662295978,0.8696986777550378,0.484,2.0768019122880257,4.633353199848344,4.672360931794965,0.6765044995038704,500
Linear,Logistic,observational,True,4,0.95,0.64,2.1802014879524787,0.8696986777550378,0.616,2.418714420244346,4.633353199848344,4.672360931794965,0.6765044995038704,500
Linear,Logistic,observational,True,6,0.9,0.892,1.5223480106061822,0.38943694227197045,0.886,1.7571128386894448,4.789419332950871,4.818343116282321,0.6974028333059313,500
Linear,Logistic,observational,True,6,0.95,0.9426666666666667,1.8139895391508574,0.38943694227197045,0.94,2.0373261346926905,4.789419332950871,4.818343116282321,0.6974028333059313,500
