Learner g,Learner m,Score,In-sample-norm.,DGP,level,Tuned,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,False,0.9041666666666667,1.1400890857194432,0.28740542972213634,0.92,1.7825586546503152,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,True,0.8966666666666667,0.6472337011214075,0.15944046942151935,0.89,1.0113932407840978,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,False,0.9608333333333333,1.3584999361424834,0.28740542972213634,0.98,1.9530265671281697,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,True,0.9516666666666667,0.7712265231342353,0.15944046942151935,0.94,1.108993599863019,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,False,0.9091666666666667,1.228317976026286,0.29714569696579457,0.87,1.9154225471875832,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,True,0.9075,0.6999396898634899,0.16414917750405422,0.89,1.0923185146373655,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,False,0.9625,1.4636311432990996,0.29714569696579457,0.96,2.1000879769164107,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,True,0.955,0.8340295823313698,0.16414917750405422,0.92,1.1991852306848672,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,False,0.9116666666666667,1.3107305270692071,0.31985432471813957,0.93,2.043307297150825,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,True,0.8908333333333333,0.7112998258902837,0.17517537461692242,0.84,1.1042718075016527,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,False,0.9616666666666667,1.5618317547526317,0.31985432471813957,0.96,2.2409152941225887,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,True,0.9391666666666667,0.8475660193171083,0.17517537461692242,0.9,1.2154039059944974,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,False,0.9166666666666667,1.4374818316154423,0.33276716041579246,0.94,2.2272959804052928,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,True,0.7691666666666667,0.7404367767653766,0.254447961458634,0.69,1.1489525496687707,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,False,0.9675,1.712865249668844,0.33276716041579246,0.96,2.449349686911489,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,True,0.8541666666666667,0.8822848376963073,0.254447961458634,0.79,1.2629079128831524,100
