Learner g,Learner m,Score,In-sample-norm.,DGP,level,Tuned,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,False,0.8933333333333333,1.104533138085938,0.2786392828405217,0.93,1.403347738672554,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.9,True,0.9166666666666667,0.6434665238707676,0.15552856896641956,0.91,0.8209959260997447,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,False,0.9666666666666667,1.3161324113633812,0.2786392828405217,0.97,1.5959470400469875,100
LGBM Regr.,LGBM Clas.,observational,True,1,0.95,True,0.9533333333333333,0.7667376545725277,0.15552856896641956,0.96,0.9301867858119841,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,False,0.92,1.2001857652221994,0.2761379784298203,0.94,1.5248040252023016,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.9,True,0.91,0.705320543228418,0.15481408501446786,0.88,0.8960249286786839,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,False,0.96,1.430109546557577,0.2761379784298203,0.97,1.7238479263548212,100
LGBM Regr.,LGBM Clas.,observational,True,2,0.95,True,0.95,0.8404412645798971,0.15481408501446786,0.93,1.0186697969238927,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,False,0.8933333333333333,1.3085128545125806,0.30695508841663705,0.92,1.6601995824415863,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.9,True,0.89,0.7237290131511886,0.16938601624368954,0.91,0.9191510186073212,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,False,0.9533333333333333,1.5591892349142273,0.30695508841663705,0.96,1.8814562718978545,100
LGBM Regr.,LGBM Clas.,observational,True,3,0.95,True,0.9533333333333333,0.8623763094178922,0.16938601624368954,0.92,1.042629687574485,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,False,0.9233333333333333,1.4575276036298743,0.3136429990461747,0.93,1.841601446334188,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.9,True,0.7533333333333333,0.7563191729586094,0.28371438189486503,0.66,0.9629096996466265,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,False,0.9733333333333333,1.7367512602820832,0.3136429990461747,0.97,2.0888217668673956,100
LGBM Regr.,LGBM Clas.,observational,True,4,0.95,True,0.8233333333333333,0.9012098800325217,0.28371438189486503,0.81,1.087106451467499,100
