Learner g,Learner m,Treatment Level,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,0,0.9,0.921,8.43473750706522,2.0020174052425626,1000
LGBM Regr.,LGBM Clas.,0,0.95,0.968,10.050609648188914,2.0020174052425626,1000
LGBM Regr.,LGBM Clas.,1,0.9,0.945,34.49785903442266,8.012907711983175,1000
LGBM Regr.,LGBM Clas.,1,0.95,0.983,41.10673444938877,8.012907711983175,1000
LGBM Regr.,LGBM Clas.,2,0.9,0.909,33.42971449937157,8.333206392907996,1000
LGBM Regr.,LGBM Clas.,2,0.95,0.973,39.83396173291094,8.333206392907996,1000
LGBM Regr.,Logistic,0,0.9,0.905,5.626372580880361,1.390211734015615,1000
LGBM Regr.,Logistic,0,0.95,0.958,6.704236438695905,1.390211734015615,1000
LGBM Regr.,Logistic,1,0.9,0.922,7.220302724612175,1.6901658245391882,1000
LGBM Regr.,Logistic,1,0.95,0.952,8.603521350373505,1.6901658245391882,1000
LGBM Regr.,Logistic,2,0.9,0.91,7.160030685666201,1.6407106001549503,1000
LGBM Regr.,Logistic,2,0.95,0.957,8.531702786293828,1.6407106001549503,1000
Linear,LGBM Clas.,0,0.9,0.902,5.4602785529816185,1.3727521781733092,1000
Linear,LGBM Clas.,0,0.95,0.95,6.506323197423445,1.3727521781733092,1000
Linear,LGBM Clas.,1,0.9,0.946,9.92791552556521,2.067430586356608,1000
Linear,LGBM Clas.,1,0.95,0.979,11.82984099790536,2.067430586356608,1000
Linear,LGBM Clas.,2,0.9,0.93,7.18671690478672,1.5695466395151154,1000
Linear,LGBM Clas.,2,0.95,0.971,8.563501377671649,1.5695466395151154,1000
Linear,Logistic,0,0.9,0.897,5.347321418519404,1.344857338767798,1000
Linear,Logistic,0,0.95,0.949,6.371726469960765,1.344857338767798,1000
Linear,Logistic,1,0.9,0.901,5.430231052306794,1.3595988005998974,1000
Linear,Logistic,1,0.95,0.947,6.470519392037281,1.3595988005998974,1000
Linear,Logistic,2,0.9,0.898,5.376486330054867,1.3454318063315418,1000
Linear,Logistic,2,0.95,0.947,6.406478605521755,1.3454318063315418,1000
