Learner g,Learner m,Treatment Level,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,0,0.9,0.101,8.72464705610517,7.69060335283662,1000
LGBM,LGBM,0,0.95,0.168,10.396058182685966,7.69060335283662,1000
LGBM,LGBM,1,0.9,0.91,38.30331770299161,9.562939748112736,1000
LGBM,LGBM,1,0.95,0.967,45.64121813404002,9.562939748112736,1000
LGBM,LGBM,2,0.9,0.905,37.49716497122261,9.591839864401951,1000
LGBM,LGBM,2,0.95,0.967,44.68062790618235,9.591839864401951,1000
LGBM,Logistic,0,0.9,0.001,5.62641157969034,7.909519506884242,1000
LGBM,Logistic,0,0.95,0.003,6.704282908644202,7.909519506884242,1000
LGBM,Logistic,1,0.9,0.912,7.3932709551456055,1.688958946627119,1000
LGBM,Logistic,1,0.95,0.964,8.80962570930267,1.688958946627119,1000
LGBM,Logistic,2,0.9,0.923,7.338619324174274,1.6599126863351725,1000
LGBM,Logistic,2,0.95,0.964,8.74450427439499,1.6599126863351725,1000
Linear,LGBM,0,0.9,0.001,5.5022409940442945,7.885943476281484,1000
Linear,LGBM,0,0.95,0.002,6.556324529966731,7.885943476281484,1000
Linear,LGBM,1,0.9,0.948,10.701123810026264,2.1922012703894347,1000
Linear,LGBM,1,0.95,0.98,12.751175495553264,2.1922012703894347,1000
Linear,LGBM,2,0.9,0.935,7.541733160705176,1.6121710860008325,1000
Linear,LGBM,2,0.95,0.975,8.986529338412476,1.6121710860008325,1000
Linear,Logistic,0,0.9,0.001,5.335716108126816,7.900114562869366,1000
Linear,Logistic,0,0.95,0.001,6.357897889699166,7.900114562869366,1000
Linear,Logistic,1,0.9,0.908,5.416708522805744,1.2769813074841767,1000
Linear,Logistic,1,0.95,0.954,6.454406304302501,1.2769813074841767,1000
Linear,Logistic,2,0.9,0.901,5.366227893653038,1.275836824088286,1000
Linear,Logistic,2,0.95,0.956,6.394254924608247,1.275836824088286,1000
