Learner g,Learner m,Treatment Level,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,0.0,0.9,0.912,8.657690136121921,2.0760855366229958,1000
LGBM,LGBM,0.0,0.95,0.965,10.316274091547035,2.0760855366229958,1000
LGBM,LGBM,1.0,0.9,0.915,38.23339285821166,9.180525200256618,1000
LGBM,LGBM,1.0,0.95,0.967,45.55789754237906,9.180525200256618,1000
LGBM,LGBM,2.0,0.9,0.89,37.49194764946096,9.610674399165429,1000
LGBM,LGBM,2.0,0.95,0.952,44.67441108385784,9.610674399165429,1000
LGBM,Logistic,0.0,0.9,0.904,5.625897101886533,1.3345731610342202,1000
LGBM,Logistic,0.0,0.95,0.955,6.7036698705295725,1.3345731610342202,1000
LGBM,Logistic,1.0,0.9,0.924,7.423300143143786,1.697057819214677,1000
LGBM,Logistic,1.0,0.95,0.968,8.84540769378873,1.697057819214677,1000
LGBM,Logistic,2.0,0.9,0.917,7.321275660150267,1.660826093332619,1000
LGBM,Logistic,2.0,0.95,0.971,8.723838024042964,1.660826093332619,1000
Linear,LGBM,0.0,0.9,0.901,5.498257423071024,1.30423568882223,1000
Linear,LGBM,0.0,0.95,0.95,6.551577812380716,1.30423568882223,1000
Linear,LGBM,1.0,0.9,0.949,10.700720020780512,2.1264975614784354,1000
Linear,LGBM,1.0,0.95,0.982,12.75069435099058,2.1264975614784354,1000
Linear,LGBM,2.0,0.9,0.93,7.513644049429104,1.6338972741785736,1000
Linear,LGBM,2.0,0.95,0.965,8.953059097926168,1.6338972741785736,1000
Linear,Logistic,0.0,0.9,0.902,5.335670092717667,1.2832290098794459,1000
Linear,Logistic,0.0,0.95,0.954,6.357843058957276,1.2832290098794459,1000
Linear,Logistic,1.0,0.9,0.905,5.417512107920403,1.2812664745065607,1000
Linear,Logistic,1.0,0.95,0.956,6.455363835025866,1.2812664745065607,1000
Linear,Logistic,2.0,0.9,0.908,5.366403391397197,1.2775297528572058,1000
Linear,Logistic,2.0,0.95,0.958,6.3944640430685675,1.2775297528572058,1000
