Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,0.9,0.945,1.2216042267151985,0.28345657770907506,1000
LGBM Regr.,LGBM Clas.,0.95,0.978,1.455631217569933,0.28345657770907506,1000
LGBM Regr.,Logistic,0.9,0.937,0.7783635652471962,0.1755643048856624,1000
LGBM Regr.,Logistic,0.95,0.974,0.9274773935904179,0.1755643048856624,1000
LassoCV,LGBM Clas.,0.9,0.94,1.089252770786487,0.2509252248385753,1000
LassoCV,LGBM Clas.,0.95,0.97,1.297924730700042,0.2509252248385753,1000
LassoCV,Logistic,0.9,0.922,0.6689562114359321,0.15824066833297554,1000
LassoCV,Logistic,0.95,0.963,0.7971104906634167,0.15824066833297554,1000
LassoCV,RF Clas.,0.9,0.916,0.5816683496081073,0.13385921983832258,1000
LassoCV,RF Clas.,0.95,0.959,0.6931005881001578,0.13385921983832258,1000
RF Regr.,Logistic,0.9,0.928,0.7402877167307594,0.16822215567409454,1000
RF Regr.,Logistic,0.95,0.97,0.8821072217099382,0.16822215567409454,1000
RF Regr.,RF Clas.,0.9,0.911,0.6219224222421955,0.14345892189725745,1000
RF Regr.,RF Clas.,0.95,0.951,0.7410662741047522,0.14345892189725745,1000
