Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,0.9,0.92618,1.0549550417797375,0.24677433876498978,1.0,2.655295049518824,1000
LGBM Regr.,LGBM Clas.,0.95,0.96976,1.2570564658871226,0.24677433876498978,1.0,2.6579031332044774,1000
LGBM Regr.,Logistic,0.9,0.89558,0.460768694911557,0.11272247714552291,0.996,1.15553358576414,1000
LGBM Regr.,Logistic,0.95,0.94716,0.5490397640451075,0.11272247714552291,0.998,1.1555911642405947,1000
Linear,LGBM Clas.,0.9,0.9045700000000001,1.049455728670136,0.2545832624791602,1.0,2.641712139711077,1000
Linear,LGBM Clas.,0.95,0.9562999999999999,1.2505036301466534,0.2545832624791602,1.0,2.6340664078152676,1000
Linear,Logistic,0.9,0.89837,0.47635891687924603,0.11622820700106382,0.999,1.1994653037592913,1000
Linear,Logistic,0.95,0.94899,0.5676166593183287,0.11622820700106382,1.0,1.202613136922296,1000
Linear,RF Clas.,0.9,0.90583,0.5108385409019408,0.12273855836370781,0.999,1.2859328834061883,1000
Linear,RF Clas.,0.95,0.95561,0.608701665411067,0.12273855836370781,0.999,1.290594144217973,1000
RF Regr.,Logistic,0.9,0.89388,0.46090264991879476,0.11328948669625669,1.0,1.1580571746486201,1000
RF Regr.,Logistic,0.95,0.94721,0.5491993812812146,0.11328948669625669,0.999,1.1597345940806152,1000
RF Regr.,RF Clas.,0.9,0.8976799999999999,0.4952927246994588,0.12057106303154265,1.0,1.2461592875136045,1000
RF Regr.,RF Clas.,0.95,0.94829,0.5901776828706784,0.12057106303154265,0.999,1.245662595805751,1000
