Learner g,Learner m,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM Regr.,LGBM Clas.,0.9,0.9363333333333334,0.8429854690504367,0.18710907501187582,1.0,1.9785384221790527,1000
LGBM Regr.,LGBM Clas.,0.95,0.9733333333333334,1.0044791413395506,0.18710907501187582,1.0,1.9800364911626893,1000
LGBM Regr.,Logistic,0.9,0.906,0.4004928960912715,0.09409580832695674,0.998,0.9396098095721851,1000
LGBM Regr.,Logistic,0.95,0.9516666666666667,0.47721671979885694,0.09409580832695674,0.997,0.9390376801676208,1000
Linear,LGBM Clas.,0.9,0.913,0.8505520736838049,0.19605441864306816,1.0,2.0055444726403864,1000
Linear,LGBM Clas.,0.95,0.9633333333333334,1.0134953068655626,0.19605441864306816,1.0,1.99760003146317,1000
Linear,Logistic,0.9,0.9073333333333333,0.4183559401744675,0.09441131089786997,0.998,0.978599004919922,1000
Linear,Logistic,0.95,0.9516666666666667,0.49850184966308914,0.09441131089786997,0.999,0.9855634231815993,1000
Linear,RF Clas.,0.9,0.9173333333333333,0.44385599360798833,0.09940256300643906,0.999,1.0457986207781687,1000
Linear,RF Clas.,0.95,0.955,0.5288870374479611,0.09940256300643906,0.999,1.0407169620648054,1000
RF Regr.,Logistic,0.9,0.9036666666666666,0.4009895338362336,0.0943062005450987,0.999,0.9424758293627788,1000
RF Regr.,Logistic,0.95,0.947,0.47780850017222243,0.0943062005450987,0.999,0.9419894363696266,1000
RF Regr.,RF Clas.,0.9,0.908,0.42403192040337917,0.09902775000039032,0.999,0.9992972456141617,1000
RF Regr.,RF Clas.,0.95,0.9516666666666667,0.5052651972603137,0.09902775000039032,1.0,0.9941899379793978,1000
