Learner g,Learner m,Learner pi,score,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,LGBM,missing-at-random,0.9,1.0,4.560457857532773,0.9168323182192744,5
LGBM,LGBM,LGBM,missing-at-random,0.95,1.0,5.4341207067421555,0.9168323182192744,5
LGBM,LGBM,Logistic,missing-at-random,0.9,1.0,2.334465604269769,0.26242885757327783,5
LGBM,LGBM,Logistic,missing-at-random,0.95,1.0,2.781687338341669,0.26242885757327783,5
LGBM,Logistic,LGBM,missing-at-random,0.9,1.0,5.0130511461019065,1.456349284059447,5
LGBM,Logistic,LGBM,missing-at-random,0.95,1.0,5.973418873281212,1.456349284059447,5
LGBM,Logistic,Logistic,missing-at-random,0.9,0.8,0.5731700873900445,0.14318556293669057,5
LGBM,Logistic,Logistic,missing-at-random,0.95,1.0,0.6829742840900856,0.14318556293669057,5
Lasso,LGBM,LGBM,missing-at-random,0.9,1.0,3.9440519983123417,0.9987079565061215,5
Lasso,LGBM,LGBM,missing-at-random,0.95,1.0,4.699627822915991,0.9987079565061215,5
Lasso,LGBM,Logistic,missing-at-random,0.9,1.0,1.8641742651023485,0.25278889113320113,5
Lasso,LGBM,Logistic,missing-at-random,0.95,1.0,2.2213006438017966,0.25278889113320113,5
Lasso,Logistic,LGBM,missing-at-random,0.9,1.0,2.6238346885709474,0.4549239085599937,5
Lasso,Logistic,LGBM,missing-at-random,0.95,1.0,3.1264918693811823,0.4549239085599937,5
Lasso,Logistic,Logistic,missing-at-random,0.9,0.8,0.492964952429589,0.09853736176492531,5
Lasso,Logistic,Logistic,missing-at-random,0.95,1.0,0.587403971132199,0.09853736176492531,5
