Learner g,Learner m,Learner pi,score,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,LGBM,nonignorable,0.9,0.919,13.007296321798501,3.666881943886845,1000
LGBM,LGBM,LGBM,nonignorable,0.95,0.966,15.49914953479172,3.666881943886845,1000
LGBM,LGBM,Logistic,nonignorable,0.9,0.918,4.832148171492941,1.3269099332105956,1000
LGBM,LGBM,Logistic,nonignorable,0.95,0.974,5.757859683624394,1.3269099332105956,1000
LGBM,Logistic,LGBM,nonignorable,0.9,0.897,4.592630929679537,1.2319933070953235,1000
LGBM,Logistic,LGBM,nonignorable,0.95,0.959,5.472457286755379,1.2319933070953235,1000
LGBM,Logistic,Logistic,nonignorable,0.9,0.867,2.5301811727354724,0.7278088971443422,1000
LGBM,Logistic,Logistic,nonignorable,0.95,0.94,3.014896822225963,0.7278088971443422,1000
Lasso,LGBM,LGBM,nonignorable,0.9,0.931,10.203902842326482,2.8923433716716134,1000
Lasso,LGBM,LGBM,nonignorable,0.95,0.975,12.158700169432054,2.8923433716716134,1000
Lasso,LGBM,Logistic,nonignorable,0.9,0.917,7.062549785922078,2.0505032981783926,1000
Lasso,LGBM,Logistic,nonignorable,0.95,0.974,8.415547129919014,2.0505032981783926,1000
Lasso,Logistic,LGBM,nonignorable,0.9,0.894,4.170596833405603,1.186759784164679,1000
Lasso,Logistic,LGBM,nonignorable,0.95,0.95,4.96957264377479,1.186759784164679,1000
Lasso,Logistic,Logistic,nonignorable,0.9,0.87,1.993316632836797,0.5662899386625381,1000
Lasso,Logistic,Logistic,nonignorable,0.95,0.928,2.3751832662372427,0.5662899386625381,1000
