Learner m,Learner M,Learner t,Score,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,LGBM Regr.,instrument,0.9,0.8867735470941884,0.6783720219284418,0.17182702238154213,998
LGBM Regr.,LGBM Clas.,LGBM Regr.,instrument,0.95,0.9458917835671342,0.8083301208774294,0.17182702238154213,998
LGBM Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.9,0.886,0.5883608609896965,0.1546569991698314,1000
LGBM Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.95,0.942,0.7010752072754521,0.1546569991698314,1000
LGBM Regr.,LGBM Clas.,LassoCV,instrument,0.9,0.8856569709127382,0.687914636116578,0.17843968090261725,997
LGBM Regr.,LGBM Clas.,LassoCV,instrument,0.95,0.9398194583751254,0.819700847014181,0.17843968090261725,997
LGBM Regr.,LGBM Clas.,LassoCV,nuisance_space,0.9,0.853,0.613277414594929,0.17455974016950299,1000
LGBM Regr.,LGBM Clas.,LassoCV,nuisance_space,0.95,0.922,0.7307651121307722,0.17455974016950299,1000
LGBM Regr.,LGBM Clas.,RF Regr.,instrument,0.9,0.833,0.6645257584558233,0.1981803920481237,1000
LGBM Regr.,LGBM Clas.,RF Regr.,instrument,0.95,0.913,0.7918312803227949,0.1981803920481237,1000
LGBM Regr.,LGBM Clas.,RF Regr.,nuisance_space,0.9,0.749,0.6389887792744618,0.2310882489727634,1000
LGBM Regr.,LGBM Clas.,RF Regr.,nuisance_space,0.95,0.847,0.7614020927955242,0.2310882489727634,1000
LGBM Regr.,Logistic,LGBM Regr.,instrument,0.9,0.8808808808808809,0.6011544597174262,0.15730144394486342,999
LGBM Regr.,Logistic,LGBM Regr.,instrument,0.95,0.9269269269269269,0.7163197204212697,0.15730144394486342,999
LGBM Regr.,Logistic,LGBM Regr.,nuisance_space,0.9,0.802,0.533982278217265,0.1735015501567642,1000
LGBM Regr.,Logistic,LGBM Regr.,nuisance_space,0.95,0.893,0.6362791293643562,0.1735015501567642,1000
LGBM Regr.,RF Clas.,LGBM Regr.,instrument,0.9,0.8808808808808809,0.6117037321129385,0.14924058625395906,999
LGBM Regr.,RF Clas.,LGBM Regr.,instrument,0.95,0.938938938938939,0.7288899537961552,0.14924058625395906,999
LGBM Regr.,RF Clas.,LGBM Regr.,nuisance_space,0.9,0.887,0.5255256282131954,0.12946206156000842,1000
LGBM Regr.,RF Clas.,LGBM Regr.,nuisance_space,0.95,0.948,0.6262024093655342,0.12946206156000842,1000
LGBM Regr.,RF Clas.,RF Regr.,instrument,0.9,0.893,0.6133564813843166,0.15711608477124128,1000
LGBM Regr.,RF Clas.,RF Regr.,instrument,0.95,0.943,0.7308593260213176,0.15711608477124128,1000
LGBM Regr.,RF Clas.,RF Regr.,nuisance_space,0.9,0.86,0.5540472193413977,0.15675464483344737,1000
LGBM Regr.,RF Clas.,RF Regr.,nuisance_space,0.95,0.935,0.6601879813806316,0.15675464483344737,1000
LassoCV,LGBM Clas.,LGBM Regr.,instrument,0.9,0.8062563067608476,0.6448097763855765,0.19653637418785105,991
LassoCV,LGBM Clas.,LGBM Regr.,instrument,0.95,0.8890010090817356,0.7683382386658661,0.19653637418785105,991
LassoCV,LGBM Clas.,LGBM Regr.,nuisance_space,0.9,0.72165991902834,0.5619651019188039,0.19918381058581103,988
LassoCV,LGBM Clas.,LGBM Regr.,nuisance_space,0.95,0.840080971659919,0.6696227203940329,0.19918381058581103,988
LassoCV,Logistic,LassoCV,instrument,0.9,0.9126506024096386,0.6493687054509357,0.15965331285568357,996
LassoCV,Logistic,LassoCV,instrument,0.95,0.9618473895582329,0.7737705377043753,0.15965331285568357,996
LassoCV,Logistic,LassoCV,nuisance_space,0.9,0.8682092555331992,0.5768393638614188,0.1458288654760023,994
LassoCV,Logistic,LassoCV,nuisance_space,0.95,0.9356136820925554,0.6873464966781094,0.1458288654760023,994
LassoCV,RF Clas.,RF Regr.,instrument,0.9,0.8667334669338678,0.5890487369844828,0.14213629243588016,998
LassoCV,RF Clas.,RF Regr.,instrument,0.95,0.93687374749499,0.7018948620784813,0.14213629243588016,998
LassoCV,RF Clas.,RF Regr.,nuisance_space,0.9,0.8908908908908909,0.5583249926493753,0.13040987029805642,999
LassoCV,RF Clas.,RF Regr.,nuisance_space,0.95,0.9369369369369369,0.6652852626707622,0.13040987029805642,999
RF Regr.,LGBM Clas.,LGBM Regr.,instrument,0.9,0.883,0.4286586066458282,0.10700456800013383,1000
RF Regr.,LGBM Clas.,LGBM Regr.,instrument,0.95,0.939,0.510778233955119,0.10700456800013383,1000
RF Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.9,0.798,0.3832967523848996,0.11829755780901112,1000
RF Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.95,0.871,0.45672625074725515,0.11829755780901112,1000
RF Regr.,LGBM Clas.,RF Regr.,instrument,0.9,0.866,0.42225079909506574,0.11434483968291848,1000
RF Regr.,LGBM Clas.,RF Regr.,instrument,0.95,0.919,0.5031428603184782,0.11434483968291848,1000
RF Regr.,LGBM Clas.,RF Regr.,nuisance_space,0.9,0.881,0.41648308996281536,0.10985709399222088,1000
RF Regr.,LGBM Clas.,RF Regr.,nuisance_space,0.95,0.938,0.49627021099133717,0.10985709399222088,1000
RF Regr.,Logistic,RF Regr.,instrument,0.9,0.856,0.38502789712056834,0.10721182765222284,1000
RF Regr.,Logistic,RF Regr.,instrument,0.95,0.92,0.45878903692977124,0.10721182765222284,1000
RF Regr.,Logistic,RF Regr.,nuisance_space,0.9,0.824,0.3771933481281758,0.11331805384094351,1000
RF Regr.,Logistic,RF Regr.,nuisance_space,0.95,0.9,0.4494535960074909,0.11331805384094351,1000
RF Regr.,RF Clas.,LGBM Regr.,instrument,0.9,0.828,0.38946263148586363,0.11262093701887263,1000
RF Regr.,RF Clas.,LGBM Regr.,instrument,0.95,0.884,0.46407334885550183,0.11262093701887263,1000
RF Regr.,RF Clas.,LGBM Regr.,nuisance_space,0.9,0.804,0.36190660207697933,0.10722868220974552,1000
RF Regr.,RF Clas.,LGBM Regr.,nuisance_space,0.95,0.867,0.4312383145926426,0.10722868220974552,1000
RF Regr.,RF Clas.,LassoCV,instrument,0.9,0.859,0.39360445751539874,0.10201463510531926,1000
RF Regr.,RF Clas.,LassoCV,instrument,0.95,0.922,0.4690086389719632,0.10201463510531926,1000
RF Regr.,RF Clas.,LassoCV,nuisance_space,0.9,0.847,0.37185525976227807,0.097545400580116,1000
RF Regr.,RF Clas.,LassoCV,nuisance_space,0.95,0.905,0.44309287139830933,0.097545400580116,1000
RF Regr.,RF Clas.,RF Regr.,instrument,0.9,0.885,0.3931395611851874,0.09840536307939636,1000
RF Regr.,RF Clas.,RF Regr.,instrument,0.95,0.94,0.4684546808270991,0.09840536307939636,1000
RF Regr.,RF Clas.,RF Regr.,nuisance_space,0.9,0.877,0.3834497709276788,0.09720459767352349,1000
RF Regr.,RF Clas.,RF Regr.,nuisance_space,0.95,0.934,0.4569085835870289,0.09720459767352349,1000
