Learner m,Learner M,Learner t,Score,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Clas.,LGBM Regr.,instrument,0.9,0.9,0.6534565055513932,0.16336115980855923,500
LGBM Regr.,LGBM Clas.,LGBM Regr.,instrument,0.95,0.956,0.7786414519557212,0.16336115980855923,500
LGBM Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.9,0.9,0.587173331700569,0.14523265588039966,500
LGBM Regr.,LGBM Clas.,LGBM Regr.,nuisance_space,0.95,0.948,0.6996601788503451,0.14523265588039966,500
LassoCV,Logistic,LassoCV,instrument,0.9,0.85,0.5909860504305657,0.16604923608569636,500
LassoCV,Logistic,LassoCV,instrument,0.95,0.92,0.7042033134317637,0.16604923608569636,500
LassoCV,Logistic,LassoCV,nuisance_space,0.9,0.872,0.5743427245911767,0.1561191992391632,500
LassoCV,Logistic,LassoCV,nuisance_space,0.95,0.934,0.6843715674978567,0.1561191992391632,500
RF Regr.,RF Clas.,RF Regr.,instrument,0.9,0.896,0.3948609235155087,0.09705489730756603,500
RF Regr.,RF Clas.,RF Regr.,instrument,0.95,0.95,0.4705058105546887,0.09705489730756603,500
RF Regr.,RF Clas.,RF Regr.,nuisance_space,0.9,0.892,0.38159441513135645,0.09629310976419707,500
RF Regr.,RF Clas.,RF Regr.,nuisance_space,0.95,0.936,0.4546977907968892,0.09629310976419707,500
