Learner g,Learner m,Learner r,Score,level,Coverage,CI Length,Bias,repetition
LassoCV,LassoCV,LassoCV,IV-type,0.9,0.7766143106457243,0.22989223679605483,0.07287153111653735,573
LassoCV,LassoCV,LassoCV,IV-type,0.95,0.8534031413612565,0.2739334960039667,0.07287153111653735,573
LassoCV,LassoCV,LassoCV,partialling out,0.9,0.881326352530541,0.29700780857260933,0.07271080850444225,573
LassoCV,LassoCV,LassoCV,partialling out,0.95,0.9476439790575916,0.35390663241468806,0.07271080850444225,573
LassoCV,LassoCV,RF Regr.,IV-type,0.9,0.7975567190226877,0.23015212335471688,0.07216217057387413,573
LassoCV,LassoCV,RF Regr.,IV-type,0.95,0.8691099476439791,0.27424316993889775,0.07216217057387413,573
LassoCV,LassoCV,RF Regr.,partialling out,0.9,0.8987783595113438,0.30254607837243314,0.07481695240309204,573
LassoCV,LassoCV,RF Regr.,partialling out,0.95,0.9511343804537522,0.3605058879146674,0.07481695240309204,573
LassoCV,RF Regr.,LassoCV,IV-type,0.9,0.8289703315881326,0.2609713252114788,0.075760272295832,573
LassoCV,RF Regr.,LassoCV,IV-type,0.95,0.8830715532286213,0.3109665139992902,0.075760272295832,573
LassoCV,RF Regr.,LassoCV,partialling out,0.9,0.900523560209424,0.31348377219475954,0.07615050625397395,573
LassoCV,RF Regr.,LassoCV,partialling out,0.95,0.9476439790575916,0.3735389539665188,0.07615050625397395,573
LassoCV,RF Regr.,RF Regr.,IV-type,0.9,0.8342059336823735,0.2618973110694574,0.07635382529994407,573
LassoCV,RF Regr.,RF Regr.,IV-type,0.95,0.9022687609075044,0.3120698942041265,0.07635382529994407,573
LassoCV,RF Regr.,RF Regr.,partialling out,0.9,0.900523560209424,0.2969325926809845,0.08064896780776748,573
LassoCV,RF Regr.,RF Regr.,partialling out,0.95,0.9493891797556719,0.35381700715184744,0.08064896780776748,573
RF Regr.,LassoCV,LassoCV,IV-type,0.9,0.7888307155322862,0.2399734669407101,0.07565892605977774,573
RF Regr.,LassoCV,LassoCV,IV-type,0.95,0.8603839441535777,0.28594602263833013,0.07565892605977774,573
RF Regr.,LassoCV,LassoCV,partialling out,0.9,0.8952879581151832,0.32748151131844716,0.08012239409438285,573
RF Regr.,LassoCV,LassoCV,partialling out,0.95,0.9476439790575916,0.39021828889206017,0.08012239409438285,573
RF Regr.,LassoCV,RF Regr.,IV-type,0.9,0.7975567190226877,0.23928903589865372,0.07494587967257611,573
RF Regr.,LassoCV,RF Regr.,IV-type,0.95,0.8568935427574171,0.2851304727496643,0.07494587967257611,573
RF Regr.,LassoCV,RF Regr.,partialling out,0.9,0.8952879581151832,0.3140855171898558,0.07607988220815401,573
RF Regr.,LassoCV,RF Regr.,partialling out,0.95,0.9424083769633508,0.3742559773532452,0.07607988220815401,573
RF Regr.,RF Regr.,LassoCV,IV-type,0.9,0.8132635253054101,0.2731895612733841,0.07830955419542239,573
RF Regr.,RF Regr.,LassoCV,IV-type,0.95,0.8708551483420593,0.3255254402426704,0.07830955419542239,573
RF Regr.,RF Regr.,LassoCV,partialling out,0.9,0.7801047120418848,0.3462668556955946,0.10647619537980385,573
RF Regr.,RF Regr.,LassoCV,partialling out,0.95,0.8481675392670157,0.41260240734072084,0.10647619537980385,573
RF Regr.,RF Regr.,RF Regr.,IV-type,0.9,0.8150087260034904,0.2716740654611092,0.07804596547692132,573
RF Regr.,RF Regr.,RF Regr.,IV-type,0.95,0.8778359511343804,0.3237196156014316,0.07804596547692132,573
RF Regr.,RF Regr.,RF Regr.,partialling out,0.9,0.8691099476439791,0.2991970298118071,0.07619100964756245,573
RF Regr.,RF Regr.,RF Regr.,partialling out,0.95,0.9109947643979057,0.356515250417355,0.07619100964756245,573
