Learner g,Learner m,Score,Approach,DGP,level,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp1,0.9,0.685,0.07825958532713045,0.03043935901390476,1.5482634245331157,1.0388990792815624,200
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp1,0.95,0.795,0.09325204758218905,0.03043935901390476,1.5482634245331157,1.0388990792815624,200
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp2,0.9,0.9,0.07568235712288829,0.019227801904568253,1.5453227852715608,1.014488281057047,200
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp2,0.95,0.945,0.0901810907642153,0.019227801904568253,1.5453227852715608,1.014488281057047,200
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp3,0.9,0.0,0.09459012254838152,0.2898336465542013,1.6803016907278263,1.2538635096584279,200
LGBM Regr.,LGBM Regr.,IV-type,cre_general,dgp3,0.95,0.0,0.11271108288927856,0.2898336465542013,1.6803016907278263,1.2538635096584279,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp1,0.9,0.405,0.0914507937941699,0.052651499081212826,1.5346644973650363,1.0715450800990285,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp1,0.95,0.55,0.1089703419546037,0.052651499081212826,1.5346644973650363,1.0715450800990285,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp2,0.9,0.875,0.09376358856769959,0.02562869058928203,1.5417071621936826,1.0365404860260867,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp2,0.95,0.935,0.11172620690542732,0.02562869058928203,1.5417071621936826,1.0365404860260867,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp3,0.9,0.0,0.10373060826155252,0.21990420865980828,1.7204436818144588,1.4734592546679581,200
LGBM Regr.,LGBM Regr.,IV-type,cre_normal,dgp3,0.95,0.0,0.1236026433937967,0.21990420865980828,1.7204436818144588,1.4734592546679581,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp1,0.9,0.475,0.0845922654157919,0.04556366892982161,1.5592571956779957,1.560381433558009,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp1,0.95,0.595,0.10079790132626604,0.04556366892982161,1.5592571956779957,1.560381433558009,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp2,0.9,0.85,0.0874896273640717,0.02440724171781883,1.503506135854519,1.51547345213435,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp2,0.95,0.92,0.10425032102839481,0.02440724171781883,1.503506135854519,1.51547345213435,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp3,0.9,0.0,0.08785625331373677,0.39048686946534206,1.8332923873454399,2.0339019268207594,200
LGBM Regr.,LGBM Regr.,IV-type,fd_exact,dgp3,0.95,0.0,0.10468718279248568,0.39048686946534206,1.8332923873454399,2.0339019268207594,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp1,0.9,0.755,0.0773198192870836,0.025688659094466836,1.0206898951802998,1.0208011908233934,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp1,0.95,0.825,0.09213224727764806,0.025688659094466836,1.0206898951802998,1.0208011908233934,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp2,0.9,0.9,0.06915096912963344,0.016904622144843975,1.0166398752165657,1.1183173279947765,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp2,0.95,0.96,0.08239846194783704,0.016904622144843975,1.0166398752165657,1.1183173279947765,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp3,0.9,0.0,0.0644883030727697,0.6668132448114582,1.3111193828356513,1.7845823260498657,200
LGBM Regr.,LGBM Regr.,IV-type,wg_approx,dgp3,0.95,0.0,0.07684255265983088,0.6668132448114582,1.3111193828356513,1.7845823260498657,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.9,0.88,0.07276301215662687,0.01883933964227799,1.827594776452371,1.0388491161653157,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp1,0.95,0.935,0.08670247668052608,0.01883933964227799,1.827594776452371,1.0388491161653157,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.9,0.53,0.07032087926180335,0.035930388703310105,1.8138875087628077,1.0140533010272026,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp2,0.95,0.62,0.08379249585251419,0.035930388703310105,1.8138875087628077,1.0140533010272026,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.9,0.0,0.14644793400955328,0.24387897456620083,2.2265021730931096,1.2509985001043957,200
LGBM Regr.,LGBM Regr.,partialling out,cre_general,dgp3,0.95,0.0,0.1745034765196716,0.24387897456620083,2.2265021730931096,1.2509985001043957,200
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.9,0.34,0.10671440925189961,0.06604278972783294,1.8278662384821258,1.0723966288109512,200
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp1,0.95,0.475,0.1271580615673603,0.06604278972783294,1.8278662384821258,1.0723966288109512,200
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.9,0.885,0.09882487285553931,0.02624515366426892,1.814110699387459,1.0369175101803143,200
LGBM Regr.,LGBM Regr.,partialling out,cre_normal,dgp2,0.95,0.92,0.11775709911196953,0.02624515366426892,1.814110699387459,1.0369175101803143,200
