Learner g,Learner m,Score,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Regr.,IV-type,0.9,1.0,0.48379195644311906,0.043896374140478124,200
LGBM Regr.,LGBM Regr.,IV-type,0.95,1.0,0.5764736722477123,0.043896374140478124,200
LGBM Regr.,LGBM Regr.,partialling out,0.9,1.0,0.4274891593272349,0.040230933494930066,200
LGBM Regr.,LGBM Regr.,partialling out,0.95,1.0,0.5093847515268327,0.040230933494930066,200
LGBM Regr.,LassoCV,IV-type,0.9,1.0,0.45065491509041977,0.03961561732359535,200
LGBM Regr.,LassoCV,IV-type,0.95,1.0,0.5369884520789872,0.03961561732359535,200
LGBM Regr.,LassoCV,partialling out,0.9,1.0,0.4647876706307198,0.04099111407338698,200
LGBM Regr.,LassoCV,partialling out,0.95,1.0,0.5538286689879135,0.04099111407338698,200
LassoCV,LGBM Regr.,IV-type,0.9,1.0,0.4533200708224781,0.0392110345240512,200
LassoCV,LGBM Regr.,IV-type,0.95,1.0,0.5401641810085613,0.0392110345240512,200
LassoCV,LGBM Regr.,partialling out,0.9,1.0,0.4027788982866379,0.06263809947112646,200
LassoCV,LGBM Regr.,partialling out,0.95,1.0,0.4799406594236864,0.06263809947112646,200
LassoCV,LassoCV,IV-type,0.9,1.0,0.42389410399201455,0.039146387227136696,200
LassoCV,LassoCV,IV-type,0.95,1.0,0.5051009788773966,0.039146387227136696,200
LassoCV,LassoCV,partialling out,0.9,1.0,0.42929238558763394,0.038343926362745556,200
LassoCV,LassoCV,partialling out,0.95,1.0,0.5115334281436751,0.038343926362745556,200
LassoCV,RF Regr.,IV-type,0.9,1.0,0.43002966243700896,0.03967203028081669,200
LassoCV,RF Regr.,IV-type,0.95,1.0,0.5124119476956479,0.03967203028081669,200
LassoCV,RF Regr.,partialling out,0.9,1.0,0.4210178458352891,0.03854646023519487,200
LassoCV,RF Regr.,partialling out,0.95,1.0,0.5016737058939218,0.03854646023519487,200
RF Regr.,LassoCV,IV-type,0.9,1.0,0.43156407675903913,0.039483149712953074,200
RF Regr.,LassoCV,IV-type,0.95,1.0,0.5142403151316705,0.039483149712953074,200
RF Regr.,LassoCV,partialling out,0.9,1.0,0.44156045783429204,0.03982989009523981,200
RF Regr.,LassoCV,partialling out,0.95,1.0,0.5261517378638839,0.03982989009523981,200
RF Regr.,RF Regr.,IV-type,0.9,1.0,0.43906837277804184,0.04555426365010304,200
RF Regr.,RF Regr.,IV-type,0.95,1.0,0.5231822353643129,0.04555426365010304,200
RF Regr.,RF Regr.,partialling out,0.9,1.0,0.4275257263148562,0.04446586903598572,200
RF Regr.,RF Regr.,partialling out,0.95,1.0,0.5094283237800634,0.04446586903598572,200
