Learner g,Learner m,Score,level,Coverage,CI Length,Bias,repetition
LGBM Regr.,LGBM Regr.,IV-type,0.9,0.842,0.17834018232450188,0.04906599489809397,1000
LGBM Regr.,LGBM Regr.,IV-type,0.95,0.912,0.21250543429822333,0.04906599489809397,1000
LGBM Regr.,LGBM Regr.,partialling out,0.9,0.838,0.15681286405153966,0.04573124294636511,1000
LGBM Regr.,LGBM Regr.,partialling out,0.95,0.903,0.18685405243214454,0.04573124294636511,1000
LGBM Regr.,LassoCV,IV-type,0.9,0.885,0.16461078056851122,0.04215406950128289,1000
LGBM Regr.,LassoCV,IV-type,0.95,0.93,0.19614584306766783,0.04215406950128289,1000
LGBM Regr.,LassoCV,partialling out,0.9,0.883,0.16897075812631973,0.04201705257981787,1000
LGBM Regr.,LassoCV,partialling out,0.95,0.935,0.20134107676304866,0.04201705257981787,1000
LassoCV,LGBM Regr.,IV-type,0.9,0.869,0.16642412725576808,0.04365102346965833,1000
LassoCV,LGBM Regr.,IV-type,0.95,0.925,0.19830657891690906,0.04365102346965833,1000
LassoCV,LGBM Regr.,partialling out,0.9,0.585,0.1485443587615016,0.06758339145715982,1000
LassoCV,LGBM Regr.,partialling out,0.95,0.704,0.17700152068773076,0.06758339145715982,1000
LassoCV,LassoCV,IV-type,0.9,0.867,0.15526621743955304,0.04062442924499158,1000
LassoCV,LassoCV,IV-type,0.95,0.93,0.18501110932363038,0.04062442924499158,1000
LassoCV,LassoCV,partialling out,0.9,0.873,0.15760528113166525,0.040049657371934055,1000
LassoCV,LassoCV,partialling out,0.95,0.938,0.18779827562157142,0.040049657371934055,1000
LassoCV,RF Regr.,IV-type,0.9,0.861,0.15839614899091312,0.041618535112791115,1000
LassoCV,RF Regr.,IV-type,0.95,0.92,0.188740652800463,0.041618535112791115,1000
LassoCV,RF Regr.,partialling out,0.9,0.864,0.155575504306029,0.04228573160122369,1000
LassoCV,RF Regr.,partialling out,0.95,0.921,0.18537964735598267,0.04228573160122369,1000
RF Regr.,LassoCV,IV-type,0.9,0.875,0.158219621114355,0.04055393472017155,1000
RF Regr.,LassoCV,IV-type,0.95,0.925,0.18853030686168032,0.04055393472017155,1000
RF Regr.,LassoCV,partialling out,0.9,0.886,0.16157145429696917,0.04033863523474124,1000
RF Regr.,LassoCV,partialling out,0.95,0.933,0.19252426244074647,0.04033863523474124,1000
RF Regr.,RF Regr.,IV-type,0.9,0.836,0.16330127845772222,0.04557378288798777,1000
RF Regr.,RF Regr.,IV-type,0.95,0.902,0.1945854750611952,0.04557378288798777,1000
RF Regr.,RF Regr.,partialling out,0.9,0.823,0.1596565199745974,0.04502470508615161,1000
RF Regr.,RF Regr.,partialling out,0.95,0.896,0.19024247745811285,0.04502470508615161,1000
