Learner g,Learner m,Score,level,Coverage,CI Length,Bias,Loss g,Loss m,repetition
LGBM Regr.,LGBM Regr.,IV-type,0.9,0.883,0.15928202279086665,0.041454930462256984,1.069765598118696,1.0865571968126624,1000
LGBM Regr.,LGBM Regr.,IV-type,0.95,0.937,0.18979623654013872,0.041454930462256984,1.069765598118696,1.0865571968126624,1000
LGBM Regr.,LGBM Regr.,partialling out,0.9,0.842,0.14626443603990613,0.04159012092162225,1.2055345892536342,1.086959351307916,1000
LGBM Regr.,LGBM Regr.,partialling out,0.95,0.907,0.17428482520270844,0.04159012092162225,1.2055345892536342,1.086959351307916,1000
LGBM Regr.,LassoCV,IV-type,0.9,0.887,0.147905408377066,0.03847587695058279,1.0693318230438509,1.0086829211963027,1000
LGBM Regr.,LassoCV,IV-type,0.95,0.948,0.17624016434520753,0.03847587695058279,1.0693318230438509,1.0086829211963027,1000
LGBM Regr.,LassoCV,partialling out,0.9,0.899,0.15875140474791682,0.03924849266305699,1.2056443309418285,1.0084514460661456,1000
LGBM Regr.,LassoCV,partialling out,0.95,0.951,0.189163966144349,0.03924849266305699,1.2056443309418285,1.0084514460661456,1000
LassoCV,LGBM Regr.,IV-type,0.9,0.894,0.15032363130014348,0.03814520647938802,1.0109435769879314,1.0867218776097132,1000
LassoCV,LGBM Regr.,IV-type,0.95,0.938,0.1791216546846278,0.03814520647938802,1.0109435769879314,1.0867218776097132,1000
LassoCV,LGBM Regr.,partialling out,0.9,0.498,0.13861728700492693,0.07095098845194882,1.1287372870798746,1.0879589553258844,1000
LassoCV,LGBM Regr.,partialling out,0.95,0.624,0.16517268510259017,0.07095098845194882,1.1287372870798746,1.0879589553258844,1000
LassoCV,LassoCV,IV-type,0.9,0.876,0.1395941022128785,0.03614102732438801,1.008526334816832,1.00850722502704,1000
LassoCV,LassoCV,IV-type,0.95,0.939,0.16633663221360717,0.03614102732438801,1.008526334816832,1.00850722502704,1000
LassoCV,LassoCV,partialling out,0.9,0.908,0.14656359193331914,0.0355408406947952,1.1286065731474382,1.0083310548041704,1000
LassoCV,LassoCV,partialling out,0.95,0.957,0.17464129143608328,0.0355408406947952,1.1286065731474382,1.0083310548041704,1000
LassoCV,RF Regr.,IV-type,0.9,0.844,0.12999176189584266,0.036265043441751715,1.0092786969519125,1.0524458002714516,1000
LassoCV,RF Regr.,IV-type,0.95,0.908,0.1548947380047176,0.036265043441751715,1.0092786969519125,1.0524458002714516,1000
LassoCV,RF Regr.,partialling out,0.9,0.78,0.1426021188866897,0.04661398743097048,1.128740578878581,1.0523978387050963,1000
LassoCV,RF Regr.,partialling out,0.95,0.863,0.16992090515374272,0.04661398743097048,1.128740578878581,1.0523978387050963,1000
RF Regr.,LassoCV,IV-type,0.9,0.885,0.1406646493212081,0.03547371211869198,1.0162369561093956,1.0085999646131845,1000
RF Regr.,LassoCV,IV-type,0.95,0.941,0.16761226777272276,0.03547371211869198,1.0162369561093956,1.0085999646131845,1000
RF Regr.,LassoCV,partialling out,0.9,0.895,0.15031102850606376,0.03675855799694686,1.153850269585127,1.0083949164585309,1000
RF Regr.,LassoCV,partialling out,0.95,0.946,0.17910663752924322,0.03675855799694686,1.153850269585127,1.0083949164585309,1000
RF Regr.,RF Regr.,IV-type,0.9,0.845,0.13119958082752003,0.036530036698981375,1.0166818516109433,1.0524053946556322,1000
RF Regr.,RF Regr.,IV-type,0.95,0.917,0.15633394303010376,0.036530036698981375,1.0166818516109433,1.0524053946556322,1000
RF Regr.,RF Regr.,partialling out,0.9,0.888,0.14202142008522262,0.03530584490921706,1.1540093754976348,1.0526197092895246,1000
RF Regr.,RF Regr.,partialling out,0.95,0.937,0.16922895985350928,0.03530584490921706,1.1540093754976348,1.0526197092895246,1000
