Learner g,Learner m,score,level,Coverage,CI Length,Bias,repetition
Lasso,Lasso,IV-type,0.9,0.881,0.13939792555761127,0.0352891099128789,1000
Lasso,Lasso,IV-type,0.95,0.945,0.1661028733109115,0.0352891099128789,1000
Lasso,Lasso,partialling out,0.9,0.908,0.14646362984437974,0.034686755904342816,1000
Lasso,Lasso,partialling out,0.95,0.956,0.17452217926042807,0.034686755904342816,1000
Lasso,Random Forest,IV-type,0.9,0.899,0.14669982134477869,0.03623385629180397,1000
Lasso,Random Forest,IV-type,0.95,0.959,0.1748036187919774,0.03623385629180397,1000
Lasso,Random Forest,partialling out,0.9,0.818,0.14330302444692822,0.04178707782984942,1000
Lasso,Random Forest,partialling out,0.95,0.888,0.17075608564161232,0.04178707782984942,1000
Random Forest,Lasso,IV-type,0.9,0.884,0.1419923382125503,0.03570371737020624,1000
Random Forest,Lasso,IV-type,0.95,0.947,0.16919430666485663,0.03570371737020624,1000
Random Forest,Lasso,partialling out,0.9,0.901,0.15193864439180765,0.03628355266737523,1000
Random Forest,Lasso,partialling out,0.95,0.946,0.1810460614782518,0.03628355266737523,1000
Random Forest,Random Forest,IV-type,0.9,0.896,0.1494441734335576,0.03664135229149298,1000
Random Forest,Random Forest,IV-type,0.95,0.951,0.17807371600109675,0.03664135229149298,1000
Random Forest,Random Forest,partialling out,0.9,0.887,0.14634206258573496,0.03683623542760959,1000
Random Forest,Random Forest,partialling out,0.95,0.94,0.17437732293720334,0.03683623542760959,1000
