Learner g,Learner m,score,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),repetition
LGBM,LGBM,IV-type,0.9,0.49,1.2836841849471865,0.6428520349757271,1.0,0.998,0.08832675987731373,0.02520086001521265,1.3451446703513263,0.27137365708627875,500
LGBM,LGBM,IV-type,0.95,0.65,1.529604050351386,0.6428520349757271,1.0,1.0,0.08832675987731373,0.013790413915027104,1.3451446703513263,0.27137365708627875,500
LGBM,LGBM,partialling out,0.9,0.052,1.0555526522517718,0.9216896766797483,1.0,0.878,0.12290629723561397,0.06678599035966565,1.6463724503661552,0.2830593598175853,500
LGBM,LGBM,partialling out,0.95,0.114,1.2577685626857555,0.9216896766797483,1.0,0.962,0.12290629723561397,0.052109753776932055,1.6463724503661552,0.2830593598175853,500
LGBM,Random Forest,IV-type,0.9,0.07,1.185049596079513,0.9314067184066298,1.0,0.938,0.1174100624506271,0.05840553447219233,1.6974788871149595,0.2676571036031638,500
LGBM,Random Forest,IV-type,0.95,0.154,1.4120736885958236,0.9314067184066298,1.0,0.994,0.1174100624506271,0.043232408960936955,1.6974788871149595,0.2676571036031638,500
LGBM,Random Forest,partialling out,0.9,0.078,1.2413817286211686,0.9949452465286486,1.0,0.922,0.11841673812385979,0.06019804761085771,1.809867025723834,0.29092515080137615,500
LGBM,Random Forest,partialling out,0.95,0.142,1.479197564632508,0.9949452465286486,1.0,0.974,0.11841673812385979,0.045229990616012454,1.809867025723834,0.29092515080137615,500
Random Forest,LGBM,IV-type,0.9,0.554,1.9003167839427866,0.8868278195698804,1.0,0.998,0.07192890048538803,0.018289895213665627,2.1195170440033437,0.46314348017355333,500
Random Forest,LGBM,IV-type,0.95,0.75,2.2643671112838355,0.8868278195698804,1.0,1.0,0.07192890048538803,0.008620528442260737,2.1195170440033437,0.46314348017355333,500
Random Forest,LGBM,partialling out,0.9,0.0,1.5144569815980977,1.5719105673775557,1.0,0.84,0.12809543247115235,0.08035172167875107,2.7736790923388868,0.401893139946668,500
Random Forest,LGBM,partialling out,0.95,0.008,1.804586798138898,1.5719105673775557,1.0,0.946,0.12809543247115235,0.06683346576643993,2.7736790923388868,0.401893139946668,500
Random Forest,Random Forest,IV-type,0.9,0.012,1.7129258423724347,1.6132817324012305,1.0,0.89,0.11916238864137621,0.0701617511747164,2.9423521273908464,0.39489957185755437,500
Random Forest,Random Forest,IV-type,0.95,0.036,2.0410770321613274,1.6132817324012305,1.0,0.974,0.11916238864137621,0.056319335836736706,2.9423521273908464,0.39489957185755437,500
Random Forest,Random Forest,partialling out,0.9,0.0,1.73933586999335,1.7364060864219562,1.0,0.824,0.12807468002064662,0.07825250528262741,3.061193129430524,0.46231012383725306,500
Random Forest,Random Forest,partialling out,0.95,0.016,2.072546521068761,1.7364060864219562,1.0,0.946,0.12807468002064662,0.06416856977908114,3.061193129430524,0.46231012383725306,500
