Learner g,Learner m,Score,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),repetition
LGBM Regr.,LGBM Regr.,IV-type,0.9,0.421,1.3976511350473353,0.7467964250024092,1.0,0.987,0.10290839957959286,0.031490519586569884,1.4404253946326935,0.2795318845446421,1000
LGBM Regr.,LGBM Regr.,IV-type,0.95,0.603,1.6654040473627647,0.7467964250024092,1.0,0.994,0.10290839957959286,0.017696866745516855,1.4404253946326935,0.2795318845446421,1000
LGBM Regr.,LGBM Regr.,partialling out,0.9,0.192,1.102290427161417,0.7410606150892608,1.0,0.974,0.10272589638995315,0.04391069909187329,1.4345048247464856,0.251626505274024,1000
LGBM Regr.,LGBM Regr.,partialling out,0.95,0.322,1.313460056469443,0.7410606150892608,1.0,0.995,0.10272589638995315,0.03006796975885084,1.4345048247464856,0.251626505274024,1000
LGBM Regr.,LassoCV,IV-type,0.9,0.014,1.509085669359172,1.4539598882028426,1.0,0.366,0.18611240379020022,0.11033278480181255,2.1857839931874423,0.7279169255468876,1000
LGBM Regr.,LassoCV,IV-type,0.95,0.046,1.7981864848432254,1.4539598882028426,1.0,0.594,0.18611240379020022,0.08990359936209669,2.1857839931874423,0.7279169255468876,1000
LGBM Regr.,LassoCV,partialling out,0.9,0.035,1.507921245387843,1.3159744755105507,1.0,0.549,0.17172124099290512,0.0951449003773672,2.0419784435742567,0.5943030774757848,1000
LGBM Regr.,LassoCV,partialling out,0.95,0.08,1.7967989881023936,1.3159744755105507,1.0,0.771,0.17172124099290512,0.0748164416512186,2.0419784435742567,0.5943030774757848,1000
LassoCV,LGBM Regr.,IV-type,0.9,0.726,2.4983280456112573,1.026175519781805,1.0,1.0,0.0687018781764579,0.01120762678999437,2.535249747799531,0.567952628278145,1000
LassoCV,LGBM Regr.,IV-type,0.95,0.903,2.976941480221371,1.026175519781805,1.0,1.0,0.0687018781764579,0.0036246937120926154,2.535249747799531,0.567952628278145,1000
LassoCV,LGBM Regr.,partialling out,0.9,0.607,1.966778043542478,0.9043657907050859,1.0,1.0,0.06031903912908668,0.012377995755699906,2.426212574731265,0.6422721718417567,1000
LassoCV,LGBM Regr.,partialling out,0.95,0.832,2.3435605866473455,0.9043657907050859,1.0,1.0,0.06031903912908668,0.004604329422567183,2.426212574731265,0.6422721718417567,1000
LassoCV,LassoCV,IV-type,0.9,0.0,2.571731206770743,4.8737377482499245,1.0,0.0,0.28348151920253006,0.22518977741829715,6.4038522831761675,3.343623213323681,1000
LassoCV,LassoCV,IV-type,0.95,0.0,3.0644067414863634,4.8737377482499245,1.0,0.001,0.28348151920253006,0.208728038503683,6.4038522831761675,3.343623213323681,1000
LassoCV,LassoCV,partialling out,0.9,0.0,2.5851741127390566,4.874876663212447,1.0,0.0,0.28345112594648986,0.22493068632003588,6.405508112416897,3.344245214007996,1000
LassoCV,LassoCV,partialling out,0.95,0.0,3.0804249519299787,4.874876663212447,1.0,0.001,0.28345112594648986,0.20839886362292398,6.405508112416897,3.344245214007996,1000
LassoCV,RF Regr.,IV-type,0.9,0.037,2.2221799551660677,1.7160440423474188,1.0,0.996,0.10324506511335448,0.050995875886257494,3.369265659703337,0.3191854379820456,1000
LassoCV,RF Regr.,IV-type,0.95,0.102,2.647890735034274,1.7160440423474188,1.0,1.0,0.10324506511335448,0.0366867084756369,3.369265659703337,0.3191854379820456,1000
LassoCV,RF Regr.,partialling out,0.9,0.047,2.2521751990434016,1.6622447383497525,1.0,0.999,0.09850976200308284,0.04641917011881089,3.343887329180081,0.29505795733293616,1000
LassoCV,RF Regr.,partialling out,0.95,0.128,2.6836322726056316,1.6622447383497525,1.0,1.0,0.09850976200308284,0.0322205738296689,3.343887329180081,0.29505795733293616,1000
RF Regr.,LassoCV,IV-type,0.9,0.001,1.9711202298359545,2.4918741008270446,1.0,0.144,0.1879831825557554,0.1316596199671192,3.7439258798736605,1.2404389514158414,1000
RF Regr.,LassoCV,IV-type,0.95,0.004,2.348734620743712,2.4918741008270446,1.0,0.291,0.1879831825557554,0.11556104506319523,3.7439258798736605,1.2404389514158414,1000
RF Regr.,LassoCV,partialling out,0.9,0.005,1.9387654117166035,2.180283691840108,1.0,0.33,0.16645777455701985,0.11047766645086829,3.435461938620182,0.9269126964214449,1000
RF Regr.,LassoCV,partialling out,0.95,0.009,2.3101814770467843,2.180283691840108,1.0,0.565,0.16645777455701985,0.09449083263428158,3.435461938620182,0.9269126964214449,1000
RF Regr.,RF Regr.,IV-type,0.9,0.026,1.7732461193193343,1.6256342448094874,1.0,0.896,0.12001444083856587,0.0694389840407145,2.9550164404884054,0.4058056479339932,1000
RF Regr.,RF Regr.,IV-type,0.95,0.061,2.1129530753643446,1.6256342448094874,1.0,0.966,0.12001444083856587,0.0553030741582177,2.9550164404884054,0.4058056479339932,1000
RF Regr.,RF Regr.,partialling out,0.9,0.025,1.766885805915271,1.5903668070720287,1.0,0.918,0.11721222343827108,0.06696849029772275,2.923581829825191,0.38139692141605425,1000
RF Regr.,RF Regr.,partialling out,0.95,0.072,2.1053742944940645,1.5903668070720287,1.0,0.976,0.11721222343827108,0.05288881709860531,2.923581829825191,0.38139692141605425,1000
