Learner g,Learner m,Score,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,IV-type,0.9,0.82067,0.3480458660370899,0.10323087380216943,0.977,0.875262542113541,1000
LGBM,LGBM,IV-type,0.95,0.89175,0.41472222891044763,0.10323087380216943,0.983,0.8743760032152794,1000
LGBM,LGBM,partialling out,0.9,0.74924,0.45501765367949726,0.1561157579023202,0.974,1.1411615621374567,1000
LGBM,LGBM,partialling out,0.95,0.8330700000000001,0.5421869757460459,0.1561157579023202,0.983,1.1472728814827193,1000
LGBM,Lasso,IV-type,0.9,0.88225,0.36549541297084914,0.09199824425988169,0.997,0.9219589426057265,1000
LGBM,Lasso,IV-type,0.95,0.93223,0.43551464653127614,0.09199824425988169,0.997,0.9186939466891947,1000
LGBM,Lasso,partialling out,0.9,0.85111,0.6446559853424424,0.17612250701674348,0.99,1.62087577457141,1000
LGBM,Lasso,partialling out,0.95,0.91225,0.7681549853351447,0.17612250701674348,0.989,1.6242424203893664,1000
Lasso,Lasso,IV-type,0.9,0.88906,0.36205036797328316,0.08843630787984691,1.0,0.9108837341579921,1000
Lasso,Lasso,IV-type,0.95,0.93988,0.4314096222241203,0.08843630787984691,0.996,0.9061325373084409,1000
Lasso,Lasso,partialling out,0.9,0.88793,0.3773997029778743,0.09300684328946347,0.997,0.948374081382946,1000
Lasso,Lasso,partialling out,0.95,0.93798,0.4496994829768948,0.09300684328946347,0.997,0.9529022667813315,1000
Lasso,Random Forest,IV-type,0.9,0.89116,0.3591188383661412,0.08807017223492676,0.996,0.9031782149507243,1000
Lasso,Random Forest,IV-type,0.95,0.9410700000000001,0.4279164892453154,0.08807017223492676,0.997,0.9029142372777073,1000
Lasso,Random Forest,partialling out,0.9,0.77049,0.43201602915906673,0.14144817831483167,0.985,1.08875890710365,1000
Lasso,Random Forest,partialling out,0.95,0.8559500000000001,0.5147788496324103,0.14144817831483167,0.987,1.0843847856728872,1000
Random Forest,Lasso,IV-type,0.9,0.87576,0.34751733535976115,0.0886897386333643,0.996,0.8745686690953299,1000
Random Forest,Lasso,IV-type,0.95,0.93031,0.41409244576420573,0.0886897386333643,0.995,0.8733571197353698,1000
Random Forest,Lasso,partialling out,0.9,0.86897,0.44402322385123977,0.11698781037612511,0.996,1.1173200423596061,1000
Random Forest,Lasso,partialling out,0.95,0.92803,0.5290863045733317,0.11698781037612511,0.997,1.1171431096930422,1000
Random Forest,Random Forest,IV-type,0.9,0.87924,0.3435059623808316,0.08632814627418449,0.995,0.8679115609348612,1000
Random Forest,Random Forest,IV-type,0.95,0.93233,0.4093126000451489,0.08632814627418449,0.995,0.8651443116799056,1000
Random Forest,Random Forest,partialling out,0.9,0.8770399999999999,0.3833881326033233,0.09756911569117849,0.997,0.9628844750559203,1000
Random Forest,Random Forest,partialling out,0.95,0.93259,0.45683513699346895,0.09756911569117849,0.997,0.9670687030845722,1000
