Learner g,Learner m,Score,level,Coverage,CI Length,Bias,Uniform Coverage,Uniform CI Length,repetition
LGBM,LGBM,IV-type,0.9,0.7913333333333333,0.34087019015713244,0.10955365259161864,0.984,0.8024111896303185,1000
LGBM,LGBM,IV-type,0.95,0.8666666666666666,0.4061718837253168,0.10955365259161864,0.986,0.8021358516058951,1000
LGBM,LGBM,partialling out,0.9,0.733,0.41199254921037415,0.1412366447574056,0.976,0.969336707290682,1000
LGBM,LGBM,partialling out,0.95,0.8146666666666667,0.49091940165384834,0.1412366447574056,0.979,0.9670432579194853,1000
LGBM,Lasso,IV-type,0.9,0.8743333333333334,0.35934038817776554,0.09337368161834425,0.995,0.8445474458877711,1000
LGBM,Lasso,IV-type,0.95,0.9356666666666666,0.42818048212860316,0.09337368161834425,0.995,0.8434599972250386,1000
LGBM,Lasso,partialling out,0.9,0.8463333333333334,0.5552110089974697,0.1532082984330501,0.998,1.3118736080937614,1000
LGBM,Lasso,partialling out,0.95,0.9053333333333333,0.6615747222882156,0.1532082984330501,0.996,1.3086219841863547,1000
Lasso,Lasso,IV-type,0.9,0.8936666666666666,0.3563210711330694,0.0883132202205594,0.998,0.8375773423599656,1000
Lasso,Lasso,IV-type,0.95,0.944,0.4245827439660409,0.0883132202205594,0.998,0.8389714933825461,1000
Lasso,Lasso,partialling out,0.9,0.8916666666666666,0.36779082542346053,0.09228530255512166,0.999,0.8607482851866739,1000
Lasso,Lasso,partialling out,0.95,0.944,0.4382497991692171,0.09228530255512166,0.999,0.8648102492763181,1000
Lasso,Random Forest,IV-type,0.9,0.8923333333333334,0.3549776833767524,0.08879950167844942,0.998,0.8332032784130605,1000
Lasso,Random Forest,IV-type,0.95,0.9426666666666667,0.42298199872250614,0.08879950167844942,0.999,0.8323824489187096,1000
Lasso,Random Forest,partialling out,0.9,0.7343333333333334,0.4036193152513892,0.13656662200734915,0.993,0.9476058107144939,1000
Lasso,Random Forest,partialling out,0.95,0.8216666666666667,0.480942078003382,0.13656662200734915,0.992,0.9514873421828395,1000
Random Forest,Lasso,IV-type,0.9,0.875,0.347078729389649,0.09097126345936613,0.996,0.8160886798754291,1000
Random Forest,Lasso,IV-type,0.95,0.9276666666666666,0.41356981451560193,0.09097126345936613,0.995,0.8160923905909828,1000
Random Forest,Lasso,partialling out,0.9,0.8603333333333334,0.4129163782356481,0.1102747613884337,0.995,0.9701530221434742,1000
Random Forest,Lasso,partialling out,0.95,0.921,0.4920202118340013,0.1102747613884337,0.996,0.9666885122358938,1000
Random Forest,Random Forest,IV-type,0.9,0.8683333333333334,0.344414723727709,0.09021405187831832,0.993,0.8096356132792374,1000
Random Forest,Random Forest,IV-type,0.95,0.9313333333333333,0.41039545597909777,0.09021405187831832,0.995,0.8088254975336233,1000
Random Forest,Random Forest,partialling out,0.9,0.869,0.36859916852570823,0.09499263192691354,0.997,0.865589788143947,1000
Random Forest,Random Forest,partialling out,0.95,0.926,0.4392129993844807,0.09499263192691354,0.995,0.8653642165581639,1000
