Method,fs specification,Learner g,Learner m,level,Coverage,CI Length,Bias,repetition
rdflex,cutoff,Global linear,Global linear,0.9,0.9447004608294931,10.529752027130993,2.5360582388008113,217
rdflex,cutoff,Global linear,Global linear,0.95,0.9769585253456221,12.546973421315409,2.5360582388008113,217
rdflex,cutoff,Global linear,LGBM,0.9,0.9447004608294931,10.695056848001794,2.607998308241174,217
rdflex,cutoff,Global linear,LGBM,0.95,0.9815668202764977,12.743946264411543,2.607998308241174,217
rdflex,cutoff,Global linear,Linear,0.9,0.9400921658986175,10.671831772988861,2.5851192458265215,217
rdflex,cutoff,Global linear,Linear,0.95,0.9769585253456221,12.716271880613661,2.5851192458265215,217
rdflex,cutoff,Global linear,Stacked,0.9,0.9493087557603687,10.523270022165471,2.6096006675833574,217
rdflex,cutoff,Global linear,Stacked,0.95,0.9723502304147466,12.539249636005968,2.6096006675833574,217
rdflex,cutoff,LGBM,Global linear,0.9,0.9354838709677419,2.024684943903171,0.4654776436897833,217
rdflex,cutoff,LGBM,Global linear,0.95,0.967741935483871,2.4125609142775057,0.4654776436897833,217
rdflex,cutoff,LGBM,LGBM,0.9,0.9308755760368663,2.0399486168860963,0.5025185580103138,217
rdflex,cutoff,LGBM,LGBM,0.95,0.9723502304147466,2.43074870243576,0.5025185580103138,217
rdflex,cutoff,LGBM,Linear,0.9,0.9539170506912442,2.077231571266908,0.48439004084784737,217
rdflex,cutoff,LGBM,Linear,0.95,0.9907834101382489,2.475174082680125,0.48439004084784737,217
rdflex,cutoff,LGBM,Stacked,0.9,0.9078341013824884,2.013198343738489,0.4723882950781023,217
rdflex,cutoff,LGBM,Stacked,0.95,0.967741935483871,2.398873785977029,0.4723882950781023,217
rdflex,cutoff,Linear,Global linear,0.9,0.9447004608294931,10.531060200954984,2.5285328625345884,217
rdflex,cutoff,Linear,Global linear,0.95,0.9769585253456221,12.54853220657054,2.5285328625345884,217
rdflex,cutoff,Linear,LGBM,0.9,0.9447004608294931,10.736809528159613,2.618016764980322,217
rdflex,cutoff,Linear,LGBM,0.95,0.9769585253456221,12.793697651420374,2.618016764980322,217
rdflex,cutoff,Linear,Linear,0.9,0.9354838709677419,10.722584189688204,2.5914341353198536,217
rdflex,cutoff,Linear,Linear,0.95,0.9769585253456221,12.776747115144676,2.5914341353198536,217
rdflex,cutoff,Linear,Stacked,0.9,0.9447004608294931,10.38460518026117,2.488761867169426,217
rdflex,cutoff,Linear,Stacked,0.95,0.9769585253456221,12.374020285745736,2.488761867169426,217
rdflex,cutoff,Stacked,Global linear,0.9,0.9262672811059908,2.094101024486942,0.49870710625783937,217
rdflex,cutoff,Stacked,Global linear,0.95,0.967741935483871,2.4952752760072348,0.49870710625783937,217
rdflex,cutoff,Stacked,LGBM,0.9,0.9493087557603687,1.990178860910213,0.4625808128999824,217
rdflex,cutoff,Stacked,LGBM,0.95,0.9907834101382489,2.371444380377104,0.4625808128999824,217
rdflex,cutoff,Stacked,Linear,0.9,0.9400921658986175,2.100273961871698,0.45110210031333337,217
rdflex,cutoff,Stacked,Linear,0.95,0.9815668202764977,2.502630784579366,0.45110210031333337,217
rdflex,cutoff,Stacked,Stacked,0.9,0.9354838709677419,2.0152587885856224,0.4454223794539288,217
rdflex,cutoff,Stacked,Stacked,0.95,0.9723502304147466,2.401328957444169,0.4454223794539288,217
rdflex,cutoff and score,Global linear,Global linear,0.9,0.9447004608294931,10.521287531348431,2.543209598746976,217
rdflex,cutoff and score,Global linear,Global linear,0.95,0.9769585253456221,12.53688735249489,2.543209598746976,217
rdflex,cutoff and score,Global linear,LGBM,0.9,0.9447004608294931,10.783771686906332,2.6194310079346916,217
rdflex,cutoff and score,Global linear,LGBM,0.95,0.9815668202764977,12.849656515036958,2.6194310079346916,217
rdflex,cutoff and score,Global linear,Linear,0.9,0.9447004608294931,10.695263403681725,2.5796733214215304,217
rdflex,cutoff and score,Global linear,Linear,0.95,0.9769585253456221,12.744192390684926,2.5796733214215304,217
rdflex,cutoff and score,Global linear,Stacked,0.9,0.9493087557603687,10.824925719186346,2.617805934038401,217
rdflex,cutoff and score,Global linear,Stacked,0.95,0.9769585253456221,12.898694569101938,2.617805934038401,217
rdflex,cutoff and score,LGBM,Global linear,0.9,0.9539170506912442,2.145978372417968,0.49504168620203054,217
rdflex,cutoff and score,LGBM,Global linear,0.95,0.9815668202764977,2.5570909487772866,0.49504168620203054,217
rdflex,cutoff and score,LGBM,LGBM,0.9,0.9400921658986175,2.1959589340364207,0.5279857513816999,217
rdflex,cutoff and score,LGBM,LGBM,0.95,0.967741935483871,2.6166464612521616,0.5279857513816999,217
rdflex,cutoff and score,LGBM,Linear,0.9,0.9447004608294931,2.190233577568502,0.476572454906507,217
