Learner g,Learner m,Learner pi,level,Coverage,CI Length,Bias,Loss g_d0,Loss g_d1,Loss m,Loss pi,repetition
LGBM Regr.,LGBM Clas.,LGBM Clas.,0.9,0.948,1.1131909010003327,0.24831669167598444,1.1741754097195407,1.163266373059539,0.7278358998629711,0.5898654853722893,500
LGBM Regr.,LGBM Clas.,LGBM Clas.,0.95,0.978,1.3264487721755889,0.24831669167598444,1.1741754097195407,1.163266373059539,0.7278358998629711,0.5898654853722893,500
LGBM Regr.,LGBM Clas.,Logistic,0.9,0.93,0.9374187726638454,0.21604194586480147,1.1744072789316446,1.1652216220418317,0.7267603771267632,0.5291022373942739,500
LGBM Regr.,LGBM Clas.,Logistic,0.95,0.978,1.117003362942448,0.21604194586480147,1.1744072789316446,1.1652216220418317,0.7267603771267632,0.5291022373942739,500
LGBM Regr.,Logistic,LGBM Clas.,0.9,0.92,0.7678357332655885,0.1751825561586277,1.1737576580451303,1.1653530986342269,0.6558418076554349,0.5887502027779351,500
LGBM Regr.,Logistic,LGBM Clas.,0.95,0.97,0.9149327080444567,0.1751825561586277,1.1737576580451303,1.1653530986342269,0.6558418076554349,0.5887502027779351,500
LassoCV,LGBM Clas.,LGBM Clas.,0.9,0.93,1.035562492786874,0.234860111118871,1.1269581915040925,1.1113999782983293,0.7263941131278941,0.5884520344901399,500
LassoCV,LGBM Clas.,LGBM Clas.,0.95,0.972,1.2339488185125143,0.234860111118871,1.1269581915040925,1.1113999782983293,0.7263941131278941,0.5884520344901399,500
LassoCV,Logistic,Logistic,0.9,0.924,0.60534225681428,0.1450666149444554,1.1265484870298061,1.1120018067070034,0.6555441137864938,0.5292784350095167,500
LassoCV,Logistic,Logistic,0.95,0.968,0.7213097884430713,0.1450666149444554,1.1265484870298061,1.1120018067070034,0.6555441137864938,0.5292784350095167,500
LassoCV,RF Clas.,RF Clas.,0.9,0.906,0.515238254750361,0.12187481387157952,1.1270654166551928,1.1113696711379897,0.6562679741378069,0.5360320761650595,500
LassoCV,RF Clas.,RF Clas.,0.95,0.968,0.6139442478171186,0.12187481387157952,1.1270654166551928,1.1113696711379897,0.6562679741378069,0.5360320761650595,500
RF Regr.,Logistic,RF Clas.,0.9,0.914,0.5796627327333214,0.14392844815850958,1.1433176517482628,1.1268174098574868,0.6556467509221011,0.5348783258079363,500
RF Regr.,Logistic,RF Clas.,0.95,0.974,0.6907107481916357,0.14392844815850958,1.1433176517482628,1.1268174098574868,0.6556467509221011,0.5348783258079363,500
RF Regr.,RF Clas.,Logistic,0.9,0.892,0.5525698364999777,0.13113512350389206,1.1437489701377335,1.1261227655007,0.6561396929395531,0.5281982168495511,500
RF Regr.,RF Clas.,Logistic,0.95,0.964,0.6584275711452678,0.13113512350389206,1.1437489701377335,1.1261227655007,0.6561396929395531,0.5281982168495511,500
RF Regr.,RF Clas.,RF Clas.,0.9,0.908,0.5220365874708703,0.1260710270982447,1.1429305895422688,1.126981021703091,0.6561581464421511,0.5363056603896544,500
RF Regr.,RF Clas.,RF Clas.,0.95,0.968,0.6220449608950439,0.1260710270982447,1.1429305895422688,1.126981021703091,0.6561581464421511,0.5363056603896544,500
