Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,experimental,False,1,0.9,0.6,10.356388530539734,4.4107250540728185,10
LGBM,LGBM,experimental,False,1,0.95,0.7,12.34039807382838,4.4107250540728185,10
LGBM,LGBM,experimental,False,2,0.9,0.8,11.698967082044295,3.7643232063462166,10
LGBM,LGBM,experimental,False,2,0.95,0.8,13.940179090356807,3.7643232063462166,10
LGBM,LGBM,experimental,False,3,0.9,0.8,10.08527349404935,2.9152951464131536,10
LGBM,LGBM,experimental,False,3,0.95,0.8,12.017344582331237,2.9152951464131536,10
LGBM,LGBM,experimental,False,4,0.9,0.5,10.186888668713731,5.236605550597182,10
LGBM,LGBM,experimental,False,4,0.95,0.6,12.138426531120839,5.236605550597182,10
LGBM,LGBM,experimental,False,5,0.9,0.9,12.02428686865999,3.119591832350914,10
LGBM,LGBM,experimental,False,5,0.95,0.9,14.327821525390224,3.119591832350914,10
LGBM,LGBM,experimental,False,6,0.9,1.0,10.579148967114062,1.961632823778719,10
LGBM,LGBM,experimental,False,6,0.95,1.0,12.605833505718627,1.961632823778719,10
LGBM,LGBM,experimental,True,1,0.9,0.6,10.399632922141626,4.324552761884432,10
LGBM,LGBM,experimental,True,1,0.95,0.8,12.391926944655713,4.324552761884432,10
LGBM,LGBM,experimental,True,2,0.9,0.8,11.627961942380717,3.442648469971862,10
LGBM,LGBM,experimental,True,2,0.95,0.9,13.85557124794606,3.442648469971862,10
LGBM,LGBM,experimental,True,3,0.9,0.7,10.080046460920673,3.3665592159944624,10
LGBM,LGBM,experimental,True,3,0.95,0.7,12.011116188199175,3.3665592159944624,10
LGBM,LGBM,experimental,True,4,0.9,0.6,10.201831579307076,4.916771924315986,10
LGBM,LGBM,experimental,True,4,0.95,0.6,12.156232107317573,4.916771924315986,10
LGBM,LGBM,experimental,True,5,0.9,0.7,12.028857743735477,3.3578186980652283,10
LGBM,LGBM,experimental,True,5,0.95,0.9,14.333268058977769,3.3578186980652283,10
LGBM,LGBM,experimental,True,6,0.9,0.9,10.613057656365914,2.2807974022076287,10
LGBM,LGBM,experimental,True,6,0.95,1.0,12.646238201071224,2.2807974022076287,10
LGBM,LGBM,observational,False,1,0.9,0.7,40.16873457390826,11.919335922167281,10
LGBM,LGBM,observational,False,1,0.95,0.9,47.8639994339945,11.919335922167281,10
LGBM,LGBM,observational,False,2,0.9,1.0,53.671138626176045,12.255061217900625,10
LGBM,LGBM,observational,False,2,0.95,1.0,63.95310621743555,12.255061217900625,10
LGBM,LGBM,observational,False,3,0.9,1.0,55.17937768614623,11.744900600298033,10
LGBM,LGBM,observational,False,3,0.95,1.0,65.75028390497049,11.744900600298033,10
LGBM,LGBM,observational,False,4,0.9,1.0,86.27815025558667,10.664492342026808,10
LGBM,LGBM,observational,False,4,0.95,1.0,102.80675701648565,10.664492342026808,10
LGBM,LGBM,observational,False,5,0.9,0.9,37.37769376748439,9.315353112618784,10
LGBM,LGBM,observational,False,5,0.95,1.0,44.53826918642772,9.315353112618784,10
LGBM,LGBM,observational,False,6,0.9,1.0,30.074150764089445,5.15480155394671,10
LGBM,LGBM,observational,False,6,0.95,1.0,35.83556092616506,5.15480155394671,10
LGBM,LGBM,observational,True,1,0.9,0.9,17.15801369597231,6.143762788461223,10
LGBM,LGBM,observational,True,1,0.95,0.9,20.44503434185689,6.143762788461223,10
LGBM,LGBM,observational,True,2,0.9,0.9,19.79171649438093,4.625571582658663,10
LGBM,LGBM,observational,True,2,0.95,0.9,23.583284789363443,4.625571582658663,10
LGBM,LGBM,observational,True,3,0.9,0.9,16.970582145679693,3.2754639675354524,10
LGBM,LGBM,observational,True,3,0.95,1.0,20.221695874457275,3.2754639675354524,10
LGBM,LGBM,observational,True,4,0.9,1.0,26.661977411281185,4.88532522884967,10
LGBM,LGBM,observational,True,4,0.95,1.0,31.76970559962981,4.88532522884967,10
LGBM,LGBM,observational,True,5,0.9,1.0,17.457410612670035,4.929089057156639,10
LGBM,LGBM,observational,True,5,0.95,1.0,20.801787772189442,4.929089057156639,10
LGBM,LGBM,observational,True,6,0.9,1.0,15.50447485545717,2.3723905683190294,10
LGBM,LGBM,observational,True,6,0.95,1.0,18.47472128703854,2.3723905683190294,10
