Learner g,Learner m,Score,In-sample-norm.,DGP,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,experimental,False,1,0.9,0.0,2.150647078825858,2.496114457937995,20
LGBM,LGBM,experimental,False,1,0.95,0.05,2.562654055587474,2.496114457937995,20
LGBM,LGBM,experimental,False,2,0.9,0.3,2.0222194437050938,1.689527802371753,20
LGBM,LGBM,experimental,False,2,0.95,0.3,2.4096230895902937,1.689527802371753,20
LGBM,LGBM,experimental,False,3,0.9,0.45,1.8887128337876913,1.0671656786192425,20
LGBM,LGBM,experimental,False,3,0.95,0.55,2.250540151845179,1.0671656786192425,20
LGBM,LGBM,experimental,False,4,0.9,0.0,1.8906977227272126,2.4371273604381942,20
LGBM,LGBM,experimental,False,4,0.95,0.0,2.2529052928954405,2.4371273604381942,20
LGBM,LGBM,experimental,False,5,0.9,0.65,2.049798544354606,0.7735115554746264,20
LGBM,LGBM,experimental,False,5,0.95,0.7,2.442485614931975,0.7735115554746264,20
LGBM,LGBM,experimental,False,6,0.9,0.75,1.807275992893524,0.578385586768459,20
LGBM,LGBM,experimental,False,6,0.95,0.9,2.1535021707434145,0.578385586768459,20
LGBM,LGBM,experimental,True,1,0.9,0.0,2.1532619744761052,2.562492378304854,20
LGBM,LGBM,experimental,True,1,0.95,0.05,2.5657698959357207,2.562492378304854,20
LGBM,LGBM,experimental,True,2,0.9,0.25,2.036782977918145,1.6539948928459847,20
LGBM,LGBM,experimental,True,2,0.95,0.35,2.4269766109477535,1.6539948928459847,20
LGBM,LGBM,experimental,True,3,0.9,0.3,1.883546008928489,1.1477596045622567,20
LGBM,LGBM,experimental,True,3,0.95,0.5,2.244383500291186,1.1477596045622567,20
LGBM,LGBM,experimental,True,4,0.9,0.0,1.8888745715130149,2.517034604136547,20
LGBM,LGBM,experimental,True,4,0.95,0.0,2.250732874231768,2.517034604136547,20
LGBM,LGBM,experimental,True,5,0.9,0.75,2.0587870541940076,0.7269604885405518,20
LGBM,LGBM,experimental,True,5,0.95,0.85,2.4531960850134755,0.7269604885405518,20
LGBM,LGBM,experimental,True,6,0.9,0.7,1.8015228684440672,0.693312739882803,20
LGBM,LGBM,experimental,True,6,0.95,0.8,2.1466469001377186,0.693312739882803,20
LGBM,LGBM,observational,False,1,0.9,0.9,12.987941877710256,3.4091415983241276,20
LGBM,LGBM,observational,False,1,0.95,1.0,15.47608729221147,3.4091415983241276,20
LGBM,LGBM,observational,False,2,0.9,0.95,15.01800763744177,3.4226916650702273,20
LGBM,LGBM,observational,False,2,0.95,1.0,17.8950598440099,3.4226916650702273,20
LGBM,LGBM,observational,False,3,0.9,0.9,14.5828455623922,3.4624865736826633,20
LGBM,LGBM,observational,False,3,0.95,0.95,17.37653224948125,3.4624865736826633,20
LGBM,LGBM,observational,False,4,0.9,0.8,19.890828313326566,6.086407104199291,20
LGBM,LGBM,observational,False,4,0.95,1.0,23.701383805830787,6.086407104199291,20
LGBM,LGBM,observational,False,5,0.9,0.8,7.524639190929247,2.1993017509288006,20
LGBM,LGBM,observational,False,5,0.95,0.8,8.966160617108239,2.1993017509288006,20
LGBM,LGBM,observational,False,6,0.9,0.9,6.543267104263819,1.5447262566382214,20
LGBM,LGBM,observational,False,6,0.95,0.9,7.796783650197183,1.5447262566382214,20
LGBM,LGBM,observational,True,1,0.9,0.9,4.038781214588203,0.9258018363384913,20
LGBM,LGBM,observational,True,1,0.95,0.95,4.812504646204215,0.9258018363384913,20
LGBM,LGBM,observational,True,2,0.9,0.95,4.703523605233395,1.0388908745183631,20
LGBM,LGBM,observational,True,2,0.95,1.0,5.60459405970196,1.0388908745183631,20
LGBM,LGBM,observational,True,3,0.9,0.9,4.860721317324799,1.333148134442323,20
LGBM,LGBM,observational,True,3,0.95,0.95,5.791906686857895,1.333148134442323,20
LGBM,LGBM,observational,True,4,0.9,0.9,6.650008009108329,1.370918541369596,20
LGBM,LGBM,observational,True,4,0.95,0.95,7.923973283210425,1.370918541369596,20
LGBM,LGBM,observational,True,5,0.9,0.9,3.118683460592564,0.8393691318526809,20
LGBM,LGBM,observational,True,5,0.95,0.95,3.716140550008042,0.8393691318526809,20
LGBM,LGBM,observational,True,6,0.9,0.95,3.1800502513904743,0.7894524105267935,20
LGBM,LGBM,observational,True,6,0.95,0.95,3.7892635913777624,0.7894524105267935,20
