Learner g,Learner m,Treatment Level,level,Coverage,CI Length,Bias,repetition
LGBM,LGBM,0,0.9,0.94,12.597244702323922,2.9596750224937,100
LGBM,LGBM,0,0.95,0.97,15.010542893566123,2.9596750224937,100
LGBM,LGBM,1,0.9,0.88,53.34027768931612,14.295765052095597,100
LGBM,LGBM,1,0.95,0.94,63.55886109464093,14.295765052095597,100
LGBM,LGBM,2,0.9,0.94,54.37955563131989,11.832605381941944,100
LGBM,LGBM,2,0.95,0.98,64.79723714396123,11.832605381941944,100
LGBM,Logistic,0,0.9,0.87,7.510753242431101,2.08278054890023,100
LGBM,Logistic,0,0.95,0.94,8.94961448892905,2.08278054890023,100
LGBM,Logistic,1,0.9,0.96,11.243103858650265,2.2556620733988386,100
LGBM,Logistic,1,0.95,0.97,13.396984556151,2.2556620733988386,100
LGBM,Logistic,2,0.9,0.97,10.916099143265953,2.0163156831253723,100
LGBM,Logistic,2,0.95,1.0,13.007334404656435,2.0163156831253723,100
Linear,LGBM,0,0.9,0.87,7.05207007370489,1.8444437565628413,100
Linear,LGBM,0,0.95,0.95,8.403059782608906,1.8444437565628413,100
Linear,LGBM,1,0.9,0.93,9.78603578893671,2.3070637738117212,100
Linear,LGBM,1,0.95,0.96,11.660780864303517,2.3070637738117212,100
Linear,LGBM,2,0.9,0.92,9.304361195804615,2.0083124888108137,100
Linear,LGBM,2,0.95,0.95,11.086830186055884,2.0083124888108137,100
Linear,Logistic,0,0.9,0.87,6.872779583941029,1.8467424405732742,100
Linear,Logistic,0,0.95,0.92,8.189421987154127,1.8467424405732742,100
Linear,Logistic,1,0.9,0.93,6.91616751225374,1.5369564839251604,100
Linear,Logistic,1,0.95,0.98,8.241121892521589,1.5369564839251604,100
Linear,Logistic,2,0.9,0.94,6.923696721124213,1.565924052204575,100
Linear,Logistic,2,0.95,0.98,8.25009349824772,1.565924052204575,100
