Learner g,Learner m,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),repetition
LGBM,LGBM,0.9,0.68,0.5067042277622601,0.20526873570686,1.0,1.0,0.042612599033943786,0.010739985353779518,0.7078321515039856,0.32323029941772824,50
LGBM,LGBM,0.95,0.78,0.6037753274550248,0.20526873570686,1.0,1.0,0.042612599033943786,0.006238694699277887,0.7078321515039856,0.32323029941772824,50
LGBM,Logistic Regr.,0.9,0.44,0.5681327926041817,0.33704268197271964,1.0,1.0,0.06981493361429296,0.027482769618727768,0.8396616831487971,0.19654568248379092,50
LGBM,Logistic Regr.,0.95,0.58,0.6769719771382503,0.33704268197271964,1.0,1.0,0.06981493361429296,0.018918744109342047,0.8396616831487971,0.19654568248379092,50
LGBM,Random Forest,0.9,0.22,0.4359418515815684,0.3531481659514571,1.0,1.0,0.07095301236467938,0.039250067340427894,0.8794535264313543,0.1865638427041397,50
LGBM,Random Forest,0.95,0.28,0.5194567555759706,0.3531481659514571,1.0,1.0,0.07095301236467938,0.03118731367062135,0.8794535264313543,0.1865638427041397,50
Linear Reg.,LGBM,0.9,0.96,1.7978013983106178,0.466363884745226,1.0,1.0,0.03438166834454039,0.0020310373900519064,1.9146430355801993,1.0051880859254134,50
Linear Reg.,LGBM,0.95,0.96,2.1422124949653747,0.466363884745226,1.0,1.0,0.03438166834454039,0.0006181455344644887,1.9146430355801993,1.0051880859254134,50
Linear Reg.,Logistic Regr.,0.9,0.0,2.148502395141879,5.6217720283871015,1.0,0.0,0.3478444969813299,0.3076880522760836,7.059378864895747,4.184165191878457,50
Linear Reg.,Logistic Regr.,0.95,0.0,2.560098507355124,5.6217720283871015,1.0,0.0,0.3478444969813299,0.2956963289006985,7.059378864895747,4.184165191878457,50
Linear Reg.,Random Forest,0.9,0.18,1.5537354379438162,1.0112341937005116,1.0,1.0,0.07213511086553917,0.02944211536662933,2.4971642955345064,0.4858447672623442,50
Linear Reg.,Random Forest,0.95,0.4,1.851389965633271,1.0112341937005116,1.0,1.0,0.07213511086553917,0.018164213229895018,2.4971642955345064,0.4858447672623442,50
Random Forest,LGBM,0.9,0.7,1.0698700276730864,0.4260226300026298,1.0,1.0,0.040988776225221846,0.009161259639214693,1.5398533638164813,0.6968766230638387,50
Random Forest,LGBM,0.95,0.8,1.2748287677514936,0.4260226300026298,1.0,1.0,0.040988776225221846,0.004776041014133472,1.5398533638164813,0.6968766230638387,50
Random Forest,Logistic Regr.,0.9,0.2,1.201894824278358,0.8537967975090779,1.0,0.98,0.08127174403079668,0.03878083954560649,1.954674060104891,0.33148969359422503,50
Random Forest,Logistic Regr.,0.95,0.4,1.4321460160297763,0.8537967975090779,1.0,1.0,0.08127174403079668,0.02827863601825272,1.954674060104891,0.33148969359422503,50
Random Forest,Random Forest,0.9,0.1,0.9368625438377278,0.8342122470995262,1.0,0.98,0.07732764583070029,0.04411001460694777,1.9743603998831545,0.32943110433938216,50
Random Forest,Random Forest,0.95,0.16,1.1163405754162572,0.8342122470995262,1.0,1.0,0.07732764583070029,0.03513301831413793,1.9743603998831545,0.32943110433938216,50
