Learner g,Learner m,Learner r,score,level,Coverage,CI Length,Bias,repetition
Lasso,Lasso,Lasso,IV-type,0.9,0.794,0.2323650443238503,0.0716127910778064,1000
Lasso,Lasso,Lasso,IV-type,0.95,0.873,0.2768800279115877,0.0716127910778064,1000
Lasso,Lasso,Lasso,partialling out,0.9,0.896,0.2993449044080205,0.07174605236935296,1000
Lasso,Lasso,Lasso,partialling out,0.95,0.941,0.35669145386674267,0.07174605236935296,1000
Lasso,Lasso,Random Forest,IV-type,0.9,0.8,0.2316828937025043,0.07262695013898186,1000
Lasso,Lasso,Random Forest,IV-type,0.95,0.86,0.27606719531179724,0.07262695013898186,1000
Lasso,Lasso,Random Forest,partialling out,0.9,0.901,0.30629508850974174,0.0746508009581675,1000
Lasso,Lasso,Random Forest,partialling out,0.95,0.953,0.36497310902565394,0.0746508009581675,1000
Lasso,Random Forest,Lasso,IV-type,0.9,0.81,0.26448685047693365,0.07715162164257058,1000
Lasso,Random Forest,Lasso,IV-type,0.95,0.899,0.31515552072556197,0.07715162164257058,1000
Lasso,Random Forest,Lasso,partialling out,0.9,0.896,0.31736254411103515,0.0763309152368428,1000
Lasso,Random Forest,Lasso,partialling out,0.95,0.947,0.3781607957739479,0.0763309152368428,1000
Lasso,Random Forest,Random Forest,IV-type,0.9,0.841,0.2660688041570634,0.07505848329711923,1000
Lasso,Random Forest,Random Forest,IV-type,0.95,0.904,0.3170405348006511,0.07505848329711923,1000
Lasso,Random Forest,Random Forest,partialling out,0.9,0.876,0.30189071486880176,0.08187541198275677,1000
Lasso,Random Forest,Random Forest,partialling out,0.95,0.931,0.35972497413434507,0.08187541198275677,1000
Random Forest,Lasso,Lasso,IV-type,0.9,0.807,0.242088365150119,0.07602766892568166,1000
Random Forest,Lasso,Lasso,IV-type,0.95,0.867,0.2884660792886548,0.07602766892568166,1000
Random Forest,Lasso,Lasso,partialling out,0.9,0.907,0.3309418187219329,0.0790936966095563,1000
Random Forest,Lasso,Lasso,partialling out,0.95,0.946,0.39434149947757535,0.0790936966095563,1000
Random Forest,Lasso,Random Forest,IV-type,0.9,0.801,0.24201440278744418,0.07480983900537241,1000
Random Forest,Lasso,Random Forest,IV-type,0.95,0.868,0.2883779476976859,0.07480983900537241,1000
Random Forest,Lasso,Random Forest,partialling out,0.9,0.908,0.31759294947247996,0.07599469035516371,1000
Random Forest,Lasso,Random Forest,partialling out,0.95,0.949,0.3784353406956828,0.07599469035516371,1000
Random Forest,Random Forest,Lasso,IV-type,0.9,0.837,0.2789066259125868,0.07873365193143103,1000
Random Forest,Random Forest,Lasso,IV-type,0.95,0.898,0.3323377429342431,0.07873365193143103,1000
Random Forest,Random Forest,Lasso,partialling out,0.9,0.805,0.34966736868803666,0.10536555899264627,1000
Random Forest,Random Forest,Lasso,partialling out,0.95,0.867,0.41665436849090515,0.10536555899264627,1000
Random Forest,Random Forest,Random Forest,IV-type,0.9,0.83,0.27627295546963715,0.07787098290624626,1000
Random Forest,Random Forest,Random Forest,IV-type,0.95,0.891,0.329199531040644,0.07787098290624626,1000
Random Forest,Random Forest,Random Forest,partialling out,0.9,0.863,0.3050151929014382,0.07766092147763899,1000
Random Forest,Random Forest,Random Forest,partialling out,0.95,0.927,0.36344801934281373,0.07766092147763899,1000
