Learner g,Learner m,score,level,Coverage,CI Length,Bias,Coverage (Lower),Coverage (Upper),RV,RVa,Bias (Lower),Bias (Upper),repetition
LGBM,LGBM,IV-type,0.9,0.488,1.3742753526122866,0.6939040947171712,1.0,0.991,0.0959312987608795,0.02705872370459181,1.382712363370663,0.2853472430304209,1000
LGBM,LGBM,IV-type,0.95,0.676,1.6375500845952362,0.6939040947171712,1.0,0.999,0.0959312987608795,0.01439109610199466,1.382712363370663,0.2853472430304209,1000
LGBM,LGBM,partialling out,0.9,0.045,1.083706864348786,0.9674792285839166,1.0,0.832,0.13037279311175617,0.07187843751814926,1.6796903464700677,0.32150833205619456,1000
LGBM,LGBM,partialling out,0.95,0.093,1.2913163755847794,0.9674792285839166,1.0,0.939,0.13037279311175617,0.05668126211439068,1.6796903464700677,0.32150833205619456,1000
LGBM,Random Forest,IV-type,0.9,0.101,1.2120092727204936,0.9248632286320566,1.0,0.942,0.11606077158599269,0.056281875867514396,1.694720869689396,0.2693341231859245,1000
LGBM,Random Forest,IV-type,0.95,0.193,1.444198124706956,0.9248632286320566,1.0,0.991,0.11606077158599269,0.041326959869131916,1.694720869689396,0.2693341231859245,1000
LGBM,Random Forest,partialling out,0.9,0.102,1.279220884857616,0.9836752147475881,1.0,0.936,0.11617152674599061,0.056992741322263715,1.8048211411958448,0.2899915813912829,1000
LGBM,Random Forest,partialling out,0.95,0.191,1.5242857002657517,0.9836752147475881,1.0,0.979,0.11617152674599061,0.0421510510071503,1.8048211411958448,0.2899915813912829,1000
Random Forest,LGBM,IV-type,0.9,0.649,1.9925193028786092,0.8636010388877776,1.0,1.0,0.07140193204140569,0.015517884959085515,2.0697440174517574,0.46814728139803924,1000
Random Forest,LGBM,IV-type,0.95,0.817,2.3742331889925334,0.8636010388877776,1.0,1.0,0.07140193204140569,0.006684182099793219,2.0697440174517574,0.46814728139803924,1000
Random Forest,LGBM,partialling out,0.9,0.0,1.4998986009459356,1.6998795497586392,1.0,0.641,0.14064183385724985,0.09256563334825176,2.875545980886568,0.5350639383077611,1000
Random Forest,LGBM,partialling out,0.95,0.002,1.787239417627997,1.6998795497586392,1.0,0.842,0.14064183385724985,0.07900174777951526,2.875545980886568,0.5350639383077611,1000
Random Forest,Random Forest,IV-type,0.9,0.013,1.72949298340696,1.617633039626961,1.0,0.899,0.11949874342243026,0.0699776895939262,2.9464404886895763,0.39696944960740127,1000
Random Forest,Random Forest,IV-type,0.95,0.044,2.0608179983010593,1.617633039626961,1.0,0.977,0.11949874342243026,0.05603613407892008,2.9464404886895763,0.39696944960740127,1000
Random Forest,Random Forest,partialling out,0.9,0.005,1.7577458518995892,1.742131123239896,1.0,0.829,0.1284399392765523,0.07803590722304547,3.0665227833551247,0.47318390146193945,1000
Random Forest,Random Forest,partialling out,0.95,0.027,2.0944833675461814,1.742131123239896,1.0,0.936,0.1284399392765523,0.06386960305628325,3.0665227833551247,0.47318390146193945,1000
